Namespace(batch_size=16, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=50, eval=False, exp_name='variation-6', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=6)
Using GPU : 0 from 1 devices
Train 0, loss: 3.981674, train acc: 0.040357, train avg acc: 0.040359
Test 0, loss: 3.498327, test acc: 0.048913, test avg acc: 0.048913
Train 1, loss: 3.495106, train acc: 0.047857, train avg acc: 0.047857
Test 1, loss: 3.422122, test acc: 0.070652, test avg acc: 0.070652
Train 2, loss: 3.468684, train acc: 0.050714, train avg acc: 0.050791
Test 2, loss: 3.434230, test acc: 0.038043, test avg acc: 0.038043
Train 3, loss: 3.451806, train acc: 0.056786, train avg acc: 0.056759
Test 3, loss: 3.381580, test acc: 0.096014, test avg acc: 0.096014
Train 4, loss: 3.442408, train acc: 0.055357, train avg acc: 0.055396
Test 4, loss: 3.391056, test acc: 0.057971, test avg acc: 0.057971
Train 5, loss: 3.432562, train acc: 0.057143, train avg acc: 0.057079
Test 5, loss: 3.387821, test acc: 0.052536, test avg acc: 0.052536
Train 6, loss: 3.430715, train acc: 0.058571, train avg acc: 0.058573
Test 6, loss: 3.390863, test acc: 0.056159, test avg acc: 0.056159
Train 7, loss: 3.427933, train acc: 0.056786, train avg acc: 0.056870
Test 7, loss: 3.388620, test acc: 0.097826, test avg acc: 0.097826
Train 8, loss: 3.422858, train acc: 0.057143, train avg acc: 0.057232
Test 8, loss: 3.382483, test acc: 0.081522, test avg acc: 0.081522
Train 9, loss: 3.415698, train acc: 0.063214, train avg acc: 0.063185
Test 9, loss: 3.374885, test acc: 0.065217, test avg acc: 0.065217
Train 10, loss: 3.409951, train acc: 0.064643, train avg acc: 0.064668
Test 10, loss: 3.390086, test acc: 0.072464, test avg acc: 0.072464
Train 11, loss: 3.409139, train acc: 0.062143, train avg acc: 0.062147
Test 11, loss: 3.384990, test acc: 0.076087, test avg acc: 0.076087
Train 12, loss: 3.401807, train acc: 0.068929, train avg acc: 0.068870
Test 12, loss: 3.375238, test acc: 0.096014, test avg acc: 0.096014
Train 13, loss: 3.406304, train acc: 0.068214, train avg acc: 0.068275
Test 13, loss: 3.360587, test acc: 0.077899, test avg acc: 0.077899
