Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=1048, epochs=50, eval=False, exp_name='variation-11', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=11)
Using GPU : 0 from 1 devices
Train 0, loss: 3.854647, train acc: 0.037760, train avg acc: 0.037742
Test 0, loss: 3.672459, test acc: 0.043403, test avg acc: 0.043403
Train 1, loss: 3.733707, train acc: 0.044271, train avg acc: 0.044263
Test 1, loss: 3.526655, test acc: 0.048611, test avg acc: 0.048611
Train 2, loss: 3.589968, train acc: 0.040690, train avg acc: 0.040673
Test 2, loss: 3.459251, test acc: 0.036458, test avg acc: 0.036458
Train 3, loss: 3.541670, train acc: 0.038086, train avg acc: 0.038052
Test 3, loss: 3.457954, test acc: 0.045139, test avg acc: 0.045139
Train 4, loss: 3.500625, train acc: 0.046549, train avg acc: 0.046519
Test 4, loss: 3.454916, test acc: 0.053819, test avg acc: 0.053819
Train 5, loss: 3.477449, train acc: 0.052734, train avg acc: 0.052780
Test 5, loss: 3.446450, test acc: 0.064236, test avg acc: 0.064236
Train 6, loss: 3.471700, train acc: 0.047526, train avg acc: 0.047526
Test 6, loss: 3.426868, test acc: 0.031250, test avg acc: 0.031250
Train 7, loss: 3.459927, train acc: 0.050130, train avg acc: 0.050051
Test 7, loss: 3.416910, test acc: 0.046875, test avg acc: 0.046875
Train 8, loss: 3.447947, train acc: 0.049805, train avg acc: 0.049865
Test 8, loss: 3.417335, test acc: 0.052083, test avg acc: 0.052083
Train 9, loss: 3.438594, train acc: 0.053060, train avg acc: 0.053080
Test 9, loss: 3.404243, test acc: 0.064236, test avg acc: 0.064236
Train 10, loss: 3.436873, train acc: 0.056641, train avg acc: 0.056612
Test 10, loss: 3.425501, test acc: 0.050347, test avg acc: 0.050347
Train 11, loss: 3.436309, train acc: 0.054688, train avg acc: 0.054691
Test 11, loss: 3.410888, test acc: 0.072917, test avg acc: 0.072917
Train 12, loss: 3.427002, train acc: 0.054688, train avg acc: 0.054573
Test 12, loss: 3.403491, test acc: 0.079861, test avg acc: 0.079861
Train 13, loss: 3.410656, train acc: 0.068685, train avg acc: 0.068476
Test 13, loss: 3.382830, test acc: 0.092014, test avg acc: 0.092014
Train 14, loss: 3.413067, train acc: 0.066732, train avg acc: 0.066935
Test 14, loss: 3.389846, test acc: 0.093750, test avg acc: 0.093750
Train 15, loss: 3.419362, train acc: 0.060547, train avg acc: 0.060560
Test 15, loss: 3.382316, test acc: 0.085069, test avg acc: 0.085069
Train 16, loss: 3.402340, train acc: 0.060872, train avg acc: 0.060924
Test 16, loss: 3.385253, test acc: 0.078125, test avg acc: 0.078125
Train 17, loss: 3.410114, train acc: 0.063151, train avg acc: 0.063195
Test 17, loss: 3.394267, test acc: 0.074653, test avg acc: 0.074653
Train 18, loss: 3.402896, train acc: 0.061523, train avg acc: 0.061508
Test 18, loss: 3.380841, test acc: 0.097222, test avg acc: 0.097222
Train 19, loss: 3.399075, train acc: 0.064779, train avg acc: 0.064790
Test 19, loss: 3.376902, test acc: 0.100694, test avg acc: 0.100694
Train 20, loss: 3.401490, train acc: 0.067383, train avg acc: 0.067469
Test 20, loss: 3.388924, test acc: 0.111111, test avg acc: 0.111111
Train 21, loss: 3.404219, train acc: 0.064779, train avg acc: 0.064742
Test 21, loss: 3.373417, test acc: 0.109375, test avg acc: 0.109375
Train 22, loss: 3.397695, train acc: 0.068685, train avg acc: 0.068631
Test 22, loss: 3.370176, test acc: 0.114583, test avg acc: 0.114583
Train 23, loss: 3.389318, train acc: 0.075846, train avg acc: 0.075716
Test 23, loss: 3.382929, test acc: 0.100694, test avg acc: 0.100694
Train 24, loss: 3.387082, train acc: 0.074544, train avg acc: 0.074538
Test 24, loss: 3.381102, test acc: 0.076389, test avg acc: 0.076389
