Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=1048, epochs=50, eval=False, exp_name='variation-19', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=19)
Using GPU : 0 from 1 devices
Train 0, loss: 3.742216, train acc: 0.039062, train avg acc: 0.038839
Test 0, loss: 3.676511, test acc: 0.041667, test avg acc: 0.041667
Train 1, loss: 3.889814, train acc: 0.038194, train avg acc: 0.038012
Test 1, loss: 3.722634, test acc: 0.034722, test avg acc: 0.034722
Train 2, loss: 3.936549, train acc: 0.039931, train avg acc: 0.039935
Test 2, loss: 3.656559, test acc: 0.038194, test avg acc: 0.038194
Train 3, loss: 3.834182, train acc: 0.047743, train avg acc: 0.048297
Test 3, loss: 3.551020, test acc: 0.048611, test avg acc: 0.048611
Train 4, loss: 3.705053, train acc: 0.049479, train avg acc: 0.049705
Test 4, loss: 3.461503, test acc: 0.083333, test avg acc: 0.083333
Train 5, loss: 3.629047, train acc: 0.065972, train avg acc: 0.066496
Test 5, loss: 3.435106, test acc: 0.118056, test avg acc: 0.118056
Train 6, loss: 3.524806, train acc: 0.065972, train avg acc: 0.065945
Test 6, loss: 3.407260, test acc: 0.076389, test avg acc: 0.076389
Train 7, loss: 3.521428, train acc: 0.056424, train avg acc: 0.056493
Test 7, loss: 3.358351, test acc: 0.145833, test avg acc: 0.145833
Train 8, loss: 3.504251, train acc: 0.077257, train avg acc: 0.077938
Test 8, loss: 3.404829, test acc: 0.111111, test avg acc: 0.111111
Train 9, loss: 3.472560, train acc: 0.070312, train avg acc: 0.069815
Test 9, loss: 3.379084, test acc: 0.138889, test avg acc: 0.138889
Train 10, loss: 3.479275, train acc: 0.061632, train avg acc: 0.061674
Test 10, loss: 3.378917, test acc: 0.090278, test avg acc: 0.090278
Train 11, loss: 3.457333, train acc: 0.075521, train avg acc: 0.076759
Test 11, loss: 3.383956, test acc: 0.149306, test avg acc: 0.149306
Train 12, loss: 3.430724, train acc: 0.083333, train avg acc: 0.083263
Test 12, loss: 3.389612, test acc: 0.090278, test avg acc: 0.090278
Train 13, loss: 3.430250, train acc: 0.065104, train avg acc: 0.064857
Test 13, loss: 3.364931, test acc: 0.093750, test avg acc: 0.093750
Train 14, loss: 3.424873, train acc: 0.076389, train avg acc: 0.076042
Test 14, loss: 3.372964, test acc: 0.111111, test avg acc: 0.111111
Train 15, loss: 3.415302, train acc: 0.065104, train avg acc: 0.065236
Test 15, loss: 3.367936, test acc: 0.107639, test avg acc: 0.107639
Train 16, loss: 3.400961, train acc: 0.076389, train avg acc: 0.076260
