Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=1048, epochs=50, eval=False, exp_name='variation-15', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=15)
Using GPU : 0 from 1 devices
Train 0, loss: 3.718983, train acc: 0.038672, train avg acc: 0.038690
Test 0, loss: 3.465803, test acc: 0.041246, test avg acc: 0.041246
Train 1, loss: 3.500057, train acc: 0.043848, train avg acc: 0.043845
Test 1, loss: 3.444335, test acc: 0.041246, test avg acc: 0.041246
Train 2, loss: 3.460789, train acc: 0.046973, train avg acc: 0.046981
Test 2, loss: 3.425396, test acc: 0.054714, test avg acc: 0.054714
Train 3, loss: 3.439163, train acc: 0.056152, train avg acc: 0.056172
Test 3, loss: 3.415508, test acc: 0.043771, test avg acc: 0.043771
Train 4, loss: 3.426533, train acc: 0.055566, train avg acc: 0.055542
Test 4, loss: 3.394718, test acc: 0.079966, test avg acc: 0.079966
Train 5, loss: 3.420036, train acc: 0.059082, train avg acc: 0.059055
Test 5, loss: 3.384613, test acc: 0.076599, test avg acc: 0.076599
Train 6, loss: 3.408254, train acc: 0.061328, train avg acc: 0.061376
Test 6, loss: 3.368421, test acc: 0.092172, test avg acc: 0.092172
Train 7, loss: 3.403115, train acc: 0.061230, train avg acc: 0.061181
Test 7, loss: 3.379998, test acc: 0.077020, test avg acc: 0.077020
Train 8, loss: 3.397278, train acc: 0.070312, train avg acc: 0.070352
Test 8, loss: 3.362775, test acc: 0.107323, test avg acc: 0.107323
Train 9, loss: 3.391271, train acc: 0.075000, train avg acc: 0.075037
Test 9, loss: 3.365679, test acc: 0.107744, test avg acc: 0.107744
Train 10, loss: 3.383891, train acc: 0.072559, train avg acc: 0.072468
Test 10, loss: 3.362077, test acc: 0.085859, test avg acc: 0.085859
Train 11, loss: 3.384340, train acc: 0.072656, train avg acc: 0.072590
Test 11, loss: 3.358730, test acc: 0.105219, test avg acc: 0.105219
