Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=1048, epochs=50, eval=False, exp_name='variation-31', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=31)
Using GPU : 0 from 1 devices
Train 0, loss: 3.766508, train acc: 0.042843, train avg acc: 0.042850
Test 0, loss: 3.476459, test acc: 0.039823, test avg acc: 0.039823
Train 1, loss: 3.503576, train acc: 0.042238, train avg acc: 0.042247
Test 1, loss: 3.451433, test acc: 0.035398, test avg acc: 0.035398
Train 2, loss: 3.458451, train acc: 0.046169, train avg acc: 0.046163
Test 2, loss: 3.421719, test acc: 0.051622, test avg acc: 0.051622
Train 3, loss: 3.443022, train acc: 0.048488, train avg acc: 0.048506
Test 3, loss: 3.419380, test acc: 0.059735, test avg acc: 0.059735
Train 4, loss: 3.434324, train acc: 0.052621, train avg acc: 0.052644
Test 4, loss: 3.413252, test acc: 0.066372, test avg acc: 0.066372
Train 5, loss: 3.429593, train acc: 0.053226, train avg acc: 0.053241
Test 5, loss: 3.411236, test acc: 0.050516, test avg acc: 0.050516
Train 6, loss: 3.422582, train acc: 0.054637, train avg acc: 0.054576
Test 6, loss: 3.410958, test acc: 0.051991, test avg acc: 0.051991
Train 7, loss: 3.415518, train acc: 0.060081, train avg acc: 0.060091
Test 7, loss: 3.392839, test acc: 0.083333, test avg acc: 0.083333
Train 8, loss: 3.413449, train acc: 0.058972, train avg acc: 0.058956
Test 8, loss: 3.387109, test acc: 0.082596, test avg acc: 0.082596
Train 9, loss: 3.403702, train acc: 0.064617, train avg acc: 0.064593
Test 9, loss: 3.376656, test acc: 0.105088, test avg acc: 0.105088
Train 10, loss: 3.401511, train acc: 0.066028, train avg acc: 0.066058
Test 10, loss: 3.408133, test acc: 0.060472, test avg acc: 0.060472
Train 11, loss: 3.395280, train acc: 0.068750, train avg acc: 0.068681
Test 11, loss: 3.401320, test acc: 0.056416, test avg acc: 0.056416
Train 12, loss: 3.384939, train acc: 0.074698, train avg acc: 0.074737
Test 12, loss: 3.363101, test acc: 0.095870, test avg acc: 0.095870
Train 13, loss: 3.383293, train acc: 0.075806, train avg acc: 0.075785
Test 13, loss: 3.363267, test acc: 0.096608, test avg acc: 0.096608
Train 14, loss: 3.379243, train acc: 0.076512, train avg acc: 0.076495
Test 14, loss: 3.360401, test acc: 0.127950, test avg acc: 0.127950
Train 15, loss: 3.380820, train acc: 0.077319, train avg acc: 0.077345
