Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=1048, epochs=100, eval=False, exp_name='variation-33', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=33)
Using GPU : 0 from 1 devices
Train 0, loss: 3.398298, train acc: 0.042708, train avg acc: 0.042708
Test 0, loss: 3.429013, test acc: 0.041667, test avg acc: 0.041667
Train 1, loss: 3.586493, train acc: 0.034375, train avg acc: 0.034375
Test 1, loss: 3.556922, test acc: 0.034722, test avg acc: 0.034722
Train 2, loss: 3.767860, train acc: 0.045833, train avg acc: 0.045833
Test 2, loss: 3.362612, test acc: 0.020833, test avg acc: 0.020833
Train 3, loss: 3.687387, train acc: 0.042708, train avg acc: 0.042708
Test 3, loss: 3.251712, test acc: 0.041667, test avg acc: 0.041667
Train 4, loss: 3.581517, train acc: 0.048958, train avg acc: 0.048958
Test 4, loss: 3.195513, test acc: 0.027778, test avg acc: 0.027778
Train 5, loss: 3.407773, train acc: 0.047917, train avg acc: 0.047917
Test 5, loss: 3.190740, test acc: 0.041667, test avg acc: 0.041667
Train 6, loss: 3.376090, train acc: 0.039583, train avg acc: 0.039583
Test 6, loss: 3.208068, test acc: 0.027778, test avg acc: 0.027778
Train 7, loss: 3.314161, train acc: 0.038542, train avg acc: 0.038542
Test 7, loss: 3.189430, test acc: 0.041667, test avg acc: 0.041667
Train 8, loss: 3.272597, train acc: 0.047917, train avg acc: 0.047917
Test 8, loss: 3.181082, test acc: 0.062500, test avg acc: 0.062500
Train 9, loss: 3.244048, train acc: 0.044792, train avg acc: 0.044792
Test 9, loss: 3.165614, test acc: 0.055556, test avg acc: 0.055556
Train 10, loss: 3.230801, train acc: 0.059375, train avg acc: 0.059375
Test 10, loss: 3.176861, test acc: 0.027778, test avg acc: 0.027778
Train 11, loss: 3.216977, train acc: 0.036458, train avg acc: 0.036458
Test 11, loss: 3.173250, test acc: 0.027778, test avg acc: 0.027778
Train 12, loss: 3.216984, train acc: 0.039583, train avg acc: 0.039583
Test 12, loss: 3.164954, test acc: 0.027778, test avg acc: 0.027778
Train 13, loss: 3.200169, train acc: 0.053125, train avg acc: 0.053125
Test 13, loss: 3.181547, test acc: 0.027778, test avg acc: 0.027778
Train 14, loss: 3.201271, train acc: 0.058333, train avg acc: 0.058333
Test 14, loss: 3.157728, test acc: 0.062500, test avg acc: 0.062500
Train 15, loss: 3.193173, train acc: 0.063542, train avg acc: 0.063542
Test 15, loss: 3.164512, test acc: 0.055556, test avg acc: 0.055556
Train 16, loss: 3.199787, train acc: 0.056250, train avg acc: 0.056250
Test 16, loss: 3.169646, test acc: 0.048611, test avg acc: 0.048611
Train 17, loss: 3.198430, train acc: 0.051042, train avg acc: 0.051042
Test 17, loss: 3.168111, test acc: 0.048611, test avg acc: 0.048611
Train 18, loss: 3.209345, train acc: 0.054167, train avg acc: 0.054167
Test 18, loss: 3.160276, test acc: 0.076389, test avg acc: 0.076389
