Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=100, eval=False, exp_name='variation-38', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=38)
Using GPU : 0 from 1 devices
Train 0, loss: 2.588029, train acc: 0.305511, train avg acc: 0.176924
Test 0, loss: 2.484255, test acc: 0.349614, test avg acc: 0.182693
Train 1, loss: 2.445036, train acc: 0.358645, train avg acc: 0.220740
Test 1, loss: 2.391130, test acc: 0.354079, test avg acc: 0.236816
Train 2, loss: 2.337003, train acc: 0.413577, train avg acc: 0.275343
Test 2, loss: 2.375066, test acc: 0.397671, test avg acc: 0.307752
Train 3, loss: 2.211917, train acc: 0.476566, train avg acc: 0.339138
Test 3, loss: 2.035455, test acc: 0.577622, test avg acc: 0.438896
Train 4, loss: 2.094333, train acc: 0.541293, train avg acc: 0.403606
Test 4, loss: 2.257185, test acc: 0.459817, test avg acc: 0.325766
Train 5, loss: 1.933228, train acc: 0.633065, train avg acc: 0.490662
Test 5, loss: 1.927276, test acc: 0.612556, test avg acc: 0.497953
Train 6, loss: 1.734326, train acc: 0.745358, train avg acc: 0.604100
Test 6, loss: 1.624404, test acc: 0.782430, test avg acc: 0.670487
Train 7, loss: 1.617234, train acc: 0.810017, train avg acc: 0.676302
Test 7, loss: 1.430222, test acc: 0.909436, test avg acc: 0.809544
Train 8, loss: 1.559376, train acc: 0.841335, train avg acc: 0.710190
Test 8, loss: 1.430178, test acc: 0.887143, test avg acc: 0.785661
Train 9, loss: 1.512938, train acc: 0.865491, train avg acc: 0.742842
Test 9, loss: 1.690159, test acc: 0.747556, test avg acc: 0.671044
Train 10, loss: 1.483263, train acc: 0.879356, train avg acc: 0.760928
Test 10, loss: 1.440729, test acc: 0.874382, test avg acc: 0.771371
Train 11, loss: 1.461226, train acc: 0.891881, train avg acc: 0.780130
Test 11, loss: 1.369216, test acc: 0.921232, test avg acc: 0.787149
Train 12, loss: 1.448202, train acc: 0.897945, train avg acc: 0.787525
Test 12, loss: 1.365977, test acc: 0.920357, test avg acc: 0.845575
Train 13, loss: 1.425015, train acc: 0.908838, train avg acc: 0.805036
Test 13, loss: 1.497952, test acc: 0.852329, test avg acc: 0.802779
Train 14, loss: 1.429992, train acc: 0.906889, train avg acc: 0.800705
Test 14, loss: 1.319820, test acc: 0.939846, test avg acc: 0.839261
Train 15, loss: 1.418801, train acc: 0.911621, train avg acc: 0.805945
Test 15, loss: 1.318133, test acc: 0.944220, test avg acc: 0.869975
Train 16, loss: 1.408200, train acc: 0.916459, train avg acc: 0.813972
Test 16, loss: 1.348665, test acc: 0.928774, test avg acc: 0.856962
Train 17, loss: 1.397389, train acc: 0.921792, train avg acc: 0.822126
Test 17, loss: 1.341016, test acc: 0.943194, test avg acc: 0.850910
Train 18, loss: 1.395406, train acc: 0.921356, train avg acc: 0.823388
Test 18, loss: 1.315463, test acc: 0.950374, test avg acc: 0.871220
Train 19, loss: 1.385671, train acc: 0.926374, train avg acc: 0.829958
Test 19, loss: 1.276990, test acc: 0.958821, test avg acc: 0.872010
Train 20, loss: 1.384044, train acc: 0.927464, train avg acc: 0.832816
Test 20, loss: 1.260647, test acc: 0.966514, test avg acc: 0.887972
Train 21, loss: 1.372909, train acc: 0.932610, train avg acc: 0.842471
Test 21, loss: 1.301590, test acc: 0.964251, test avg acc: 0.924759
Train 22, loss: 1.370584, train acc: 0.933836, train avg acc: 0.844129
Test 22, loss: 1.338229, test acc: 0.939423, test avg acc: 0.866997
Train 23, loss: 1.364892, train acc: 0.936116, train avg acc: 0.848465
Test 23, loss: 1.307029, test acc: 0.963195, test avg acc: 0.908857
Train 24, loss: 1.355590, train acc: 0.939930, train avg acc: 0.853427
Test 24, loss: 1.295586, test acc: 0.942983, test avg acc: 0.862947
Train 25, loss: 1.359129, train acc: 0.938102, train avg acc: 0.849599
Test 25, loss: 1.427364, test acc: 0.891758, test avg acc: 0.854304
Train 26, loss: 1.353929, train acc: 0.941246, train avg acc: 0.856548
Test 26, loss: 1.253280, test acc: 0.973784, test avg acc: 0.915982
Train 27, loss: 1.349546, train acc: 0.942367, train avg acc: 0.856558
Test 27, loss: 1.274892, test acc: 0.958821, test avg acc: 0.888721
Train 28, loss: 1.344585, train acc: 0.945241, train avg acc: 0.864741
Test 28, loss: 1.535991, test acc: 0.840956, test avg acc: 0.831203
Train 29, loss: 1.345912, train acc: 0.944699, train avg acc: 0.862305
Test 29, loss: 1.305666, test acc: 0.959032, test avg acc: 0.900802
