Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=100, eval=False, exp_name='variation-40', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=40)
Using GPU : 0 from 1 devices
Train 0, loss: 2.988641, train acc: 0.117637, train avg acc: 0.117626
Test 0, loss: 2.742031, test acc: 0.169215, test avg acc: 0.169215
Train 1, loss: 2.825730, train acc: 0.147090, train avg acc: 0.147079
Test 1, loss: 2.722689, test acc: 0.088729, test avg acc: 0.088729
Train 2, loss: 2.796753, train acc: 0.151032, train avg acc: 0.151004
Test 2, loss: 2.888037, test acc: 0.089778, test avg acc: 0.089778
Train 3, loss: 2.784188, train acc: 0.156975, train avg acc: 0.156950
Test 3, loss: 2.687517, test acc: 0.110462, test avg acc: 0.110462
Train 4, loss: 2.765157, train acc: 0.166976, train avg acc: 0.166957
Test 4, loss: 2.672716, test acc: 0.179856, test avg acc: 0.179856
Train 5, loss: 2.693036, train acc: 0.207734, train avg acc: 0.207724
Test 5, loss: 2.537104, test acc: 0.295264, test avg acc: 0.295264
Train 6, loss: 2.620389, train acc: 0.245623, train avg acc: 0.245611
Test 6, loss: 2.425253, test acc: 0.364808, test avg acc: 0.364808
Train 7, loss: 2.589978, train acc: 0.267509, train avg acc: 0.267492
Test 7, loss: 2.857078, test acc: 0.147332, test avg acc: 0.147332
Train 8, loss: 2.544854, train acc: 0.295049, train avg acc: 0.295046
Test 8, loss: 2.489518, test acc: 0.319994, test avg acc: 0.319994
Train 9, loss: 2.461972, train acc: 0.341953, train avg acc: 0.341930
Test 9, loss: 2.869429, test acc: 0.153777, test avg acc: 0.153777
Train 10, loss: 2.371509, train acc: 0.387059, train avg acc: 0.387071
Test 10, loss: 2.654759, test acc: 0.191247, test avg acc: 0.191247
Train 11, loss: 2.307056, train acc: 0.422600, train avg acc: 0.422638
Test 11, loss: 2.244451, test acc: 0.432104, test avg acc: 0.432104
Train 12, loss: 2.201725, train acc: 0.479505, train avg acc: 0.479495
Test 12, loss: 2.184929, test acc: 0.479616, test avg acc: 0.479616
Train 13, loss: 2.119049, train acc: 0.527423, train avg acc: 0.527443
Test 13, loss: 2.327023, test acc: 0.395983, test avg acc: 0.395983
Train 14, loss: 2.027542, train acc: 0.580241, train avg acc: 0.580237
Test 14, loss: 1.846303, test acc: 0.673711, test avg acc: 0.673711
Train 15, loss: 1.948634, train acc: 0.623985, train avg acc: 0.624010
Test 15, loss: 1.934138, test acc: 0.603267, test avg acc: 0.603267
Train 16, loss: 1.901849, train acc: 0.653380, train avg acc: 0.653377
Test 16, loss: 2.024617, test acc: 0.562350, test avg acc: 0.562350
Train 17, loss: 1.857428, train acc: 0.675615, train avg acc: 0.675620
Test 17, loss: 2.221645, test acc: 0.491007, test avg acc: 0.491007
Train 18, loss: 1.803404, train acc: 0.707792, train avg acc: 0.707803
Test 18, loss: 1.639012, test acc: 0.787920, test avg acc: 0.787920
Train 19, loss: 1.747473, train acc: 0.740144, train avg acc: 0.740145
Test 19, loss: 1.542351, test acc: 0.839928, test avg acc: 0.839928
Train 20, loss: 1.724724, train acc: 0.753856, train avg acc: 0.753866
Test 20, loss: 1.689457, test acc: 0.745354, test avg acc: 0.745354
Train 21, loss: 1.681391, train acc: 0.778438, train avg acc: 0.778449
Test 21, loss: 1.587319, test acc: 0.803957, test avg acc: 0.803957
Train 22, loss: 1.663194, train acc: 0.790034, train avg acc: 0.790048
Test 22, loss: 1.506871, test acc: 0.863459, test avg acc: 0.863459
Train 23, loss: 1.640628, train acc: 0.802441, train avg acc: 0.802440
Test 23, loss: 1.460334, test acc: 0.872902, test avg acc: 0.872902
Train 24, loss: 1.617181, train acc: 0.814674, train avg acc: 0.814682
Test 24, loss: 1.582140, test acc: 0.808153, test avg acc: 0.808153
Train 25, loss: 1.591621, train acc: 0.829603, train avg acc: 0.829606
Test 25, loss: 1.693664, test acc: 0.761391, test avg acc: 0.761391
Train 26, loss: 1.568016, train acc: 0.842474, train avg acc: 0.842488
Test 26, loss: 1.868590, test acc: 0.682404, test avg acc: 0.682404
Train 27, loss: 1.561203, train acc: 0.846330, train avg acc: 0.846301
Test 27, loss: 1.354542, test acc: 0.940348, test avg acc: 0.940348
Train 28, loss: 1.560012, train acc: 0.844852, train avg acc: 0.844860
Test 28, loss: 1.383015, test acc: 0.924011, test avg acc: 0.924011
Train 29, loss: 1.539571, train acc: 0.856389, train avg acc: 0.856384
Test 29, loss: 1.456273, test acc: 0.880995, test avg acc: 0.880995
Train 30, loss: 1.515111, train acc: 0.870420, train avg acc: 0.870419
Test 30, loss: 1.435975, test acc: 0.888939, test avg acc: 0.888939
Train 31, loss: 1.525759, train acc: 0.862825, train avg acc: 0.862825
Test 31, loss: 1.442301, test acc: 0.890737, test avg acc: 0.890737
Train 32, loss: 1.499139, train acc: 0.877522, train avg acc: 0.877530
Test 32, loss: 1.322073, test acc: 0.950540, test avg acc: 0.950540
Train 33, loss: 1.486698, train acc: 0.884363, train avg acc: 0.884362
Test 33, loss: 1.363005, test acc: 0.935252, test avg acc: 0.935252
Train 34, loss: 1.483315, train acc: 0.887436, train avg acc: 0.887453
Test 34, loss: 1.297111, test acc: 0.961181, test avg acc: 0.961181
Train 35, loss: 1.460843, train acc: 0.897466, train avg acc: 0.897458
Test 35, loss: 1.438474, test acc: 0.919365, test avg acc: 0.919365
Train 36, loss: 1.452525, train acc: 0.903235, train avg acc: 0.903236
Test 36, loss: 1.298705, test acc: 0.954137, test avg acc: 0.954137
Train 37, loss: 1.434673, train acc: 0.911903, train avg acc: 0.911908
Test 37, loss: 1.370458, test acc: 0.917116, test avg acc: 0.917116
Train 38, loss: 1.437220, train acc: 0.909555, train avg acc: 0.909559
Test 38, loss: 1.352253, test acc: 0.952488, test avg acc: 0.952488
Train 39, loss: 1.438736, train acc: 0.906598, train avg acc: 0.906602
Test 39, loss: 1.347544, test acc: 0.937050, test avg acc: 0.937050
Train 40, loss: 1.415489, train acc: 0.920599, train avg acc: 0.920599
Test 40, loss: 1.257242, test acc: 0.977518, test avg acc: 0.977518
Train 41, loss: 1.405839, train acc: 0.924339, train avg acc: 0.924334
Test 41, loss: 1.377316, test acc: 0.909173, test avg acc: 0.909173
