Namespace(batch_size=16, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=50, eval=False, exp_name='variation-30', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=30)
Using GPU : 0 from 1 devices
Train 0, loss: 3.612417, train acc: 0.042220, train avg acc: 0.042220
Test 0, loss: 3.440136, test acc: 0.043067, test avg acc: 0.043067
Train 1, loss: 3.460857, train acc: 0.038717, train avg acc: 0.038717
Test 1, loss: 3.441112, test acc: 0.041317, test avg acc: 0.041317
Train 2, loss: 3.452450, train acc: 0.042128, train avg acc: 0.042128
Test 2, loss: 3.442259, test acc: 0.038515, test avg acc: 0.038515
Train 3, loss: 3.449140, train acc: 0.043510, train avg acc: 0.043510
Test 3, loss: 3.441160, test acc: 0.040266, test avg acc: 0.040266
Train 4, loss: 3.442770, train acc: 0.048673, train avg acc: 0.048673
Test 4, loss: 3.425309, test acc: 0.059174, test avg acc: 0.059174
Train 5, loss: 3.435620, train acc: 0.050608, train avg acc: 0.050608
Test 5, loss: 3.426758, test acc: 0.063375, test avg acc: 0.063375
Train 6, loss: 3.430260, train acc: 0.051530, train avg acc: 0.051530
Test 6, loss: 3.406772, test acc: 0.060224, test avg acc: 0.060224
Train 7, loss: 3.426014, train acc: 0.055033, train avg acc: 0.055033
Test 7, loss: 3.398686, test acc: 0.075280, test avg acc: 0.075280
Train 8, loss: 3.425700, train acc: 0.055310, train avg acc: 0.055310
Test 8, loss: 3.417344, test acc: 0.054272, test avg acc: 0.054272
Train 9, loss: 3.423167, train acc: 0.054849, train avg acc: 0.054849
Test 9, loss: 3.416647, test acc: 0.050070, test avg acc: 0.050070
Train 10, loss: 3.421762, train acc: 0.058444, train avg acc: 0.058444
Test 10, loss: 3.396033, test acc: 0.070028, test avg acc: 0.070028
Train 11, loss: 3.422827, train acc: 0.051991, train avg acc: 0.051991
Test 11, loss: 3.416858, test acc: 0.041667, test avg acc: 0.041667
Train 12, loss: 3.421356, train acc: 0.056877, train avg acc: 0.056877
Test 12, loss: 3.402295, test acc: 0.060224, test avg acc: 0.060224
Train 13, loss: 3.421347, train acc: 0.053743, train avg acc: 0.053743
Test 13, loss: 3.414438, test acc: 0.067577, test avg acc: 0.067577
Train 14, loss: 3.419261, train acc: 0.050793, train avg acc: 0.050793
Test 14, loss: 3.407995, test acc: 0.062675, test avg acc: 0.062675
Train 15, loss: 3.416842, train acc: 0.056785, train avg acc: 0.056785
Test 15, loss: 3.390937, test acc: 0.082283, test avg acc: 0.082283
Train 16, loss: 3.413739, train acc: 0.058905, train avg acc: 0.058905
Test 16, loss: 3.392021, test acc: 0.054972, test avg acc: 0.054972
Train 17, loss: 3.408915, train acc: 0.063237, train avg acc: 0.063237
Test 17, loss: 3.379642, test acc: 0.088235, test avg acc: 0.088235
Train 18, loss: 3.405298, train acc: 0.065634, train avg acc: 0.065634
Test 18, loss: 3.370019, test acc: 0.077031, test avg acc: 0.077031
Train 19, loss: 3.406447, train acc: 0.065358, train avg acc: 0.065358
Test 19, loss: 3.384507, test acc: 0.088235, test avg acc: 0.088235
Train 20, loss: 3.402837, train acc: 0.063975, train avg acc: 0.063975
Test 20, loss: 3.383490, test acc: 0.056022, test avg acc: 0.056022
Train 21, loss: 3.400476, train acc: 0.068308, train avg acc: 0.068308
Test 21, loss: 3.395031, test acc: 0.080882, test avg acc: 0.080882
Train 22, loss: 3.400728, train acc: 0.067109, train avg acc: 0.067109
