Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=50, eval=False, exp_name='variation-12', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=12)
Using GPU : 0 from 1 devices
Train 0, loss: 3.870736, train acc: 0.047513, train avg acc: 0.047536
Test 0, loss: 3.678586, test acc: 0.043561, test avg acc: 0.043561
Train 1, loss: 3.784800, train acc: 0.041454, train avg acc: 0.041462
Test 1, loss: 3.537003, test acc: 0.053030, test avg acc: 0.053030
Train 2, loss: 3.584501, train acc: 0.040497, train avg acc: 0.040515
Test 2, loss: 3.483580, test acc: 0.041667, test avg acc: 0.041667
Train 3, loss: 3.531363, train acc: 0.038265, train avg acc: 0.038280
Test 3, loss: 3.474566, test acc: 0.035985, test avg acc: 0.035985
Train 4, loss: 3.498819, train acc: 0.042411, train avg acc: 0.042396
Test 4, loss: 3.447536, test acc: 0.037879, test avg acc: 0.037879
Train 5, loss: 3.474789, train acc: 0.051658, train avg acc: 0.051644
Test 5, loss: 3.445751, test acc: 0.058712, test avg acc: 0.058712
Train 6, loss: 3.464837, train acc: 0.041773, train avg acc: 0.041767
Test 6, loss: 3.440413, test acc: 0.064394, test avg acc: 0.064394
Train 7, loss: 3.458009, train acc: 0.052296, train avg acc: 0.052297
Test 7, loss: 3.444805, test acc: 0.045455, test avg acc: 0.045455
Train 8, loss: 3.443483, train acc: 0.055166, train avg acc: 0.055185
Test 8, loss: 3.420760, test acc: 0.068182, test avg acc: 0.068182
Train 9, loss: 3.439497, train acc: 0.052296, train avg acc: 0.052306
Test 9, loss: 3.422289, test acc: 0.068182, test avg acc: 0.068182
Train 10, loss: 3.430378, train acc: 0.057717, train avg acc: 0.057602
Test 10, loss: 3.403445, test acc: 0.073864, test avg acc: 0.073864
Train 11, loss: 3.432858, train acc: 0.059311, train avg acc: 0.059261
Test 11, loss: 3.403906, test acc: 0.071970, test avg acc: 0.071970
Train 12, loss: 3.431805, train acc: 0.049426, train avg acc: 0.049415
Test 12, loss: 3.403711, test acc: 0.054924, test avg acc: 0.054924
Train 13, loss: 3.422747, train acc: 0.062500, train avg acc: 0.062446
Test 13, loss: 3.404886, test acc: 0.066288, test avg acc: 0.066288
Train 14, loss: 3.417547, train acc: 0.055485, train avg acc: 0.055392
Test 14, loss: 3.398411, test acc: 0.081439, test avg acc: 0.081439
Train 15, loss: 3.417151, train acc: 0.056760, train avg acc: 0.056706
Test 15, loss: 3.391221, test acc: 0.096591, test avg acc: 0.096591
Train 16, loss: 3.403538, train acc: 0.065370, train avg acc: 0.065456
Test 16, loss: 3.386705, test acc: 0.085227, test avg acc: 0.085227
Train 17, loss: 3.401668, train acc: 0.061224, train avg acc: 0.061130
Test 17, loss: 3.385471, test acc: 0.087121, test avg acc: 0.087121
Train 18, loss: 3.404132, train acc: 0.063457, train avg acc: 0.063422
Test 18, loss: 3.377523, test acc: 0.102273, test avg acc: 0.102273
Train 19, loss: 3.400419, train acc: 0.063138, train avg acc: 0.063254
Test 19, loss: 3.373507, test acc: 0.096591, test avg acc: 0.096591
Train 20, loss: 3.397367, train acc: 0.066327, train avg acc: 0.066241
Test 20, loss: 3.388664, test acc: 0.075758, test avg acc: 0.075758
Train 21, loss: 3.395619, train acc: 0.062819, train avg acc: 0.062850
Test 21, loss: 3.379681, test acc: 0.085227, test avg acc: 0.085227
Train 22, loss: 3.395653, train acc: 0.059630, train avg acc: 0.059692
Test 22, loss: 3.388777, test acc: 0.077652, test avg acc: 0.077652
Train 23, loss: 3.395827, train acc: 0.065051, train avg acc: 0.065108
Test 23, loss: 3.390112, test acc: 0.075758, test avg acc: 0.075758
Train 24, loss: 3.388755, train acc: 0.070472, train avg acc: 0.070405
Test 24, loss: 3.381527, test acc: 0.087121, test avg acc: 0.087121
Train 25, loss: 3.388534, train acc: 0.065689, train avg acc: 0.065710
Test 25, loss: 3.380982, test acc: 0.073864, test avg acc: 0.073864
Train 26, loss: 3.383146, train acc: 0.066645, train avg acc: 0.066658
Test 26, loss: 3.370589, test acc: 0.104167, test avg acc: 0.104167
Train 27, loss: 3.377475, train acc: 0.071110, train avg acc: 0.071103
Test 27, loss: 3.366965, test acc: 0.075758, test avg acc: 0.075758
Train 28, loss: 3.383788, train acc: 0.074617, train avg acc: 0.074528
Test 28, loss: 3.370545, test acc: 0.087121, test avg acc: 0.087121
Train 29, loss: 3.383299, train acc: 0.072385, train avg acc: 0.072404
Test 29, loss: 3.377564, test acc: 0.081439, test avg acc: 0.081439
Train 30, loss: 3.383335, train acc: 0.072385, train avg acc: 0.072260
Test 30, loss: 3.366168, test acc: 0.111742, test avg acc: 0.111742
Train 31, loss: 3.379588, train acc: 0.073023, train avg acc: 0.073171
Test 31, loss: 3.365201, test acc: 0.092803, test avg acc: 0.092803
Train 32, loss: 3.377070, train acc: 0.076212, train avg acc: 0.076177
Test 32, loss: 3.362838, test acc: 0.100379, test avg acc: 0.100379
Train 33, loss: 3.373491, train acc: 0.078125, train avg acc: 0.078019
Test 33, loss: 3.378427, test acc: 0.077652, test avg acc: 0.077652
Train 34, loss: 3.377865, train acc: 0.080676, train avg acc: 0.080633
Test 34, loss: 3.368900, test acc: 0.068182, test avg acc: 0.068182
Train 35, loss: 3.375052, train acc: 0.070153, train avg acc: 0.070143
Test 35, loss: 3.365760, test acc: 0.102273, test avg acc: 0.102273
Train 36, loss: 3.377534, train acc: 0.073661, train avg acc: 0.073679
Test 36, loss: 3.361137, test acc: 0.119318, test avg acc: 0.119318
Train 37, loss: 3.373183, train acc: 0.080676, train avg acc: 0.080871
Test 37, loss: 3.363067, test acc: 0.130682, test avg acc: 0.130682
Train 38, loss: 3.365762, train acc: 0.077487, train avg acc: 0.077555
Test 38, loss: 3.358749, test acc: 0.115530, test avg acc: 0.115530
Train 39, loss: 3.371275, train acc: 0.081633, train avg acc: 0.081587
Test 39, loss: 3.366905, test acc: 0.098485, test avg acc: 0.098485
Train 40, loss: 3.370574, train acc: 0.071429, train avg acc: 0.071298
Test 40, loss: 3.361223, test acc: 0.126894, test avg acc: 0.126894
Train 41, loss: 3.361566, train acc: 0.078444, train avg acc: 0.078671
Test 41, loss: 3.360579, test acc: 0.125000, test avg acc: 0.125000
Train 42, loss: 3.363100, train acc: 0.085778, train avg acc: 0.085660
Test 42, loss: 3.356593, test acc: 0.134470, test avg acc: 0.134470
Train 43, loss: 3.362023, train acc: 0.076531, train avg acc: 0.076492
Test 43, loss: 3.359319, test acc: 0.100379, test avg acc: 0.100379
Train 44, loss: 3.359001, train acc: 0.080676, train avg acc: 0.080642
Test 44, loss: 3.358994, test acc: 0.109848, test avg acc: 0.109848
Train 45, loss: 3.363683, train acc: 0.081633, train avg acc: 0.081579
Test 45, loss: 3.355827, test acc: 0.119318, test avg acc: 0.119318
Train 46, loss: 3.366077, train acc: 0.082270, train avg acc: 0.082294
Test 46, loss: 3.358649, test acc: 0.121212, test avg acc: 0.121212
Train 47, loss: 3.363965, train acc: 0.071747, train avg acc: 0.071861
Test 47, loss: 3.358503, test acc: 0.123106, test avg acc: 0.123106
Train 48, loss: 3.367923, train acc: 0.080676, train avg acc: 0.080652
Test 48, loss: 3.354658, test acc: 0.123106, test avg acc: 0.123106
Train 49, loss: 3.363581, train acc: 0.086416, train avg acc: 0.086474
Test 49, loss: 3.359765, test acc: 0.113636, test avg acc: 0.113636
