Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=1048, epochs=100, eval=False, exp_name='variation-34', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=34)
Using GPU : 0 from 1 devices
Train 0, loss: 3.396199, train acc: 0.054688, train avg acc: 0.054505
Test 0, loss: 3.382700, test acc: 0.037500, test avg acc: 0.037500
Train 1, loss: 3.633787, train acc: 0.036458, train avg acc: 0.036074
Test 1, loss: 3.608417, test acc: 0.037500, test avg acc: 0.037500
Train 2, loss: 3.713685, train acc: 0.039062, train avg acc: 0.038902
Test 2, loss: 3.473972, test acc: 0.041667, test avg acc: 0.041667
Train 3, loss: 3.671705, train acc: 0.041667, train avg acc: 0.041823
Test 3, loss: 3.344507, test acc: 0.037500, test avg acc: 0.037500
Train 4, loss: 3.658616, train acc: 0.029948, train avg acc: 0.029982
Test 4, loss: 3.319285, test acc: 0.029167, test avg acc: 0.029167
Train 5, loss: 3.537430, train acc: 0.045573, train avg acc: 0.045401
Test 5, loss: 3.206557, test acc: 0.058333, test avg acc: 0.058333
Train 6, loss: 3.424864, train acc: 0.048177, train avg acc: 0.047887
Test 6, loss: 3.192592, test acc: 0.037500, test avg acc: 0.037500
Train 7, loss: 3.458546, train acc: 0.050781, train avg acc: 0.051672
Test 7, loss: 3.260164, test acc: 0.037500, test avg acc: 0.037500
Train 8, loss: 3.356183, train acc: 0.045573, train avg acc: 0.046080
Test 8, loss: 3.198797, test acc: 0.062500, test avg acc: 0.062500
Train 9, loss: 3.317332, train acc: 0.055990, train avg acc: 0.056041
Test 9, loss: 3.195486, test acc: 0.033333, test avg acc: 0.033333
Train 10, loss: 3.268494, train acc: 0.053385, train avg acc: 0.053619
Test 10, loss: 3.197484, test acc: 0.050000, test avg acc: 0.050000
Train 11, loss: 3.247607, train acc: 0.053385, train avg acc: 0.053947
Test 11, loss: 3.207874, test acc: 0.050000, test avg acc: 0.050000
Train 12, loss: 3.238874, train acc: 0.053385, train avg acc: 0.053663
Test 12, loss: 3.217834, test acc: 0.025000, test avg acc: 0.025000
Train 13, loss: 3.221809, train acc: 0.055990, train avg acc: 0.055773
Test 13, loss: 3.184499, test acc: 0.045833, test avg acc: 0.045833
Train 14, loss: 3.214948, train acc: 0.039062, train avg acc: 0.038925
Test 14, loss: 3.187892, test acc: 0.029167, test avg acc: 0.029167
Train 15, loss: 3.211286, train acc: 0.046875, train avg acc: 0.046775
Test 15, loss: 3.188972, test acc: 0.029167, test avg acc: 0.029167
Train 16, loss: 3.196150, train acc: 0.049479, train avg acc: 0.050191
Test 16, loss: 3.188321, test acc: 0.050000, test avg acc: 0.050000
Train 17, loss: 3.195988, train acc: 0.055990, train avg acc: 0.056204
Test 17, loss: 3.194936, test acc: 0.045833, test avg acc: 0.045833
Train 18, loss: 3.190192, train acc: 0.045573, train avg acc: 0.046072
Test 18, loss: 3.203521, test acc: 0.037500, test avg acc: 0.037500
Train 19, loss: 3.187426, train acc: 0.059896, train avg acc: 0.059383
Test 19, loss: 3.188272, test acc: 0.029167, test avg acc: 0.029167
Train 20, loss: 3.175558, train acc: 0.062500, train avg acc: 0.061863
Test 20, loss: 3.192238, test acc: 0.029167, test avg acc: 0.029167
Train 21, loss: 3.191871, train acc: 0.052083, train avg acc: 0.051833
Test 21, loss: 3.184802, test acc: 0.041667, test avg acc: 0.041667
Train 22, loss: 3.181530, train acc: 0.058594, train avg acc: 0.058569
Test 22, loss: 3.195347, test acc: 0.041667, test avg acc: 0.041667
Train 23, loss: 3.186981, train acc: 0.053385, train avg acc: 0.052948
Test 23, loss: 3.195788, test acc: 0.054167, test avg acc: 0.054167
Train 24, loss: 3.182878, train acc: 0.053385, train avg acc: 0.053650
Test 24, loss: 3.190375, test acc: 0.041667, test avg acc: 0.041667
Train 25, loss: 3.177186, train acc: 0.058594, train avg acc: 0.058496
Test 25, loss: 3.194042, test acc: 0.029167, test avg acc: 0.029167
Train 26, loss: 3.179411, train acc: 0.069010, train avg acc: 0.068609
Test 26, loss: 3.191878, test acc: 0.045833, test avg acc: 0.045833
Train 27, loss: 3.184261, train acc: 0.059896, train avg acc: 0.059506
Test 27, loss: 3.185358, test acc: 0.029167, test avg acc: 0.029167
Train 28, loss: 3.185582, train acc: 0.046875, train avg acc: 0.046720
Test 28, loss: 3.181049, test acc: 0.050000, test avg acc: 0.050000
Train 29, loss: 3.189492, train acc: 0.048177, train avg acc: 0.048413
Test 29, loss: 3.186808, test acc: 0.041667, test avg acc: 0.041667
Train 30, loss: 3.177175, train acc: 0.053385, train avg acc: 0.053674
Test 30, loss: 3.181354, test acc: 0.041667, test avg acc: 0.041667
Train 31, loss: 3.180812, train acc: 0.054688, train avg acc: 0.054807
Test 31, loss: 3.192121, test acc: 0.045833, test avg acc: 0.045833
Train 32, loss: 3.170228, train acc: 0.045573, train avg acc: 0.045322
Test 32, loss: 3.191282, test acc: 0.041667, test avg acc: 0.041667
Train 33, loss: 3.164216, train acc: 0.062500, train avg acc: 0.062434
Test 33, loss: 3.187162, test acc: 0.054167, test avg acc: 0.054167
Train 34, loss: 3.167690, train acc: 0.054688, train avg acc: 0.054750
Test 34, loss: 3.192139, test acc: 0.054167, test avg acc: 0.054167
Train 35, loss: 3.178710, train acc: 0.055990, train avg acc: 0.055645
Test 35, loss: 3.188770, test acc: 0.041667, test avg acc: 0.041667
Train 36, loss: 3.171673, train acc: 0.067708, train avg acc: 0.067636
Test 36, loss: 3.187214, test acc: 0.041667, test avg acc: 0.041667
Train 37, loss: 3.173631, train acc: 0.052083, train avg acc: 0.052348
Test 37, loss: 3.185493, test acc: 0.037500, test avg acc: 0.037500
Train 38, loss: 3.172514, train acc: 0.058594, train avg acc: 0.059395
Test 38, loss: 3.183189, test acc: 0.054167, test avg acc: 0.054167
Train 39, loss: 3.172135, train acc: 0.070312, train avg acc: 0.070356
Test 39, loss: 3.185566, test acc: 0.037500, test avg acc: 0.037500
Train 40, loss: 3.176176, train acc: 0.052083, train avg acc: 0.051993
Test 40, loss: 3.184389, test acc: 0.033333, test avg acc: 0.033333
Train 41, loss: 3.173057, train acc: 0.057292, train avg acc: 0.056831
Test 41, loss: 3.185189, test acc: 0.045833, test avg acc: 0.045833
Train 42, loss: 3.176909, train acc: 0.078125, train avg acc: 0.077989
Test 42, loss: 3.183773, test acc: 0.045833, test avg acc: 0.045833
Train 43, loss: 3.171975, train acc: 0.055990, train avg acc: 0.056109
Test 43, loss: 3.190657, test acc: 0.050000, test avg acc: 0.050000
Train 44, loss: 3.160627, train acc: 0.046875, train avg acc: 0.046604
Test 44, loss: 3.186592, test acc: 0.045833, test avg acc: 0.045833
Train 45, loss: 3.164831, train acc: 0.067708, train avg acc: 0.067487
Test 45, loss: 3.179135, test acc: 0.037500, test avg acc: 0.037500
Train 46, loss: 3.171665, train acc: 0.067708, train avg acc: 0.067844
Test 46, loss: 3.185422, test acc: 0.041667, test avg acc: 0.041667
Train 47, loss: 3.166379, train acc: 0.069010, train avg acc: 0.068355
Test 47, loss: 3.190671, test acc: 0.037500, test avg acc: 0.037500
Train 48, loss: 3.156343, train acc: 0.070312, train avg acc: 0.070245
Test 48, loss: 3.184947, test acc: 0.041667, test avg acc: 0.041667
Train 49, loss: 3.160577, train acc: 0.052083, train avg acc: 0.052330
Test 49, loss: 3.184008, test acc: 0.045833, test avg acc: 0.045833
Train 50, loss: 3.147962, train acc: 0.063802, train avg acc: 0.063843
Test 50, loss: 3.183857, test acc: 0.050000, test avg acc: 0.050000
Train 51, loss: 3.156373, train acc: 0.065104, train avg acc: 0.065463
Test 51, loss: 3.185790, test acc: 0.045833, test avg acc: 0.045833
Train 52, loss: 3.155165, train acc: 0.067708, train avg acc: 0.068296
Test 52, loss: 3.183801, test acc: 0.050000, test avg acc: 0.050000
Train 53, loss: 3.159461, train acc: 0.052083, train avg acc: 0.051641
Test 53, loss: 3.180853, test acc: 0.041667, test avg acc: 0.041667
Train 54, loss: 3.159705, train acc: 0.054688, train avg acc: 0.054527
Test 54, loss: 3.179430, test acc: 0.041667, test avg acc: 0.041667
Train 55, loss: 3.151865, train acc: 0.061198, train avg acc: 0.060600
Test 55, loss: 3.180182, test acc: 0.045833, test avg acc: 0.045833
Train 56, loss: 3.159152, train acc: 0.066406, train avg acc: 0.066861
Test 56, loss: 3.184720, test acc: 0.045833, test avg acc: 0.045833
