Namespace(batch_size=16, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=50, eval=False, exp_name='variation-10', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=10)
Using GPU : 0 from 1 devices
Train 0, loss: 3.903978, train acc: 0.040082, train avg acc: 0.040092
Test 0, loss: 3.460219, test acc: 0.037500, test avg acc: 0.037500
Train 1, loss: 3.517551, train acc: 0.049253, train avg acc: 0.049222
Test 1, loss: 3.470616, test acc: 0.041667, test avg acc: 0.041667
Train 2, loss: 3.493036, train acc: 0.040761, train avg acc: 0.040788
Test 2, loss: 3.453305, test acc: 0.041667, test avg acc: 0.041667
Train 3, loss: 3.468335, train acc: 0.045516, train avg acc: 0.045485
Test 3, loss: 3.448155, test acc: 0.037500, test avg acc: 0.037500
Train 4, loss: 3.466237, train acc: 0.033967, train avg acc: 0.033986
Test 4, loss: 3.435242, test acc: 0.041667, test avg acc: 0.041667
Train 5, loss: 3.454706, train acc: 0.047894, train avg acc: 0.047878
Test 5, loss: 3.430195, test acc: 0.045833, test avg acc: 0.045833
Train 6, loss: 3.449941, train acc: 0.041440, train avg acc: 0.041442
Test 6, loss: 3.422457, test acc: 0.044444, test avg acc: 0.044444
Train 7, loss: 3.444911, train acc: 0.047215, train avg acc: 0.047159
Test 7, loss: 3.412263, test acc: 0.066667, test avg acc: 0.066667
Train 8, loss: 3.437601, train acc: 0.046875, train avg acc: 0.046923
Test 8, loss: 3.420707, test acc: 0.059722, test avg acc: 0.059722
Train 9, loss: 3.439919, train acc: 0.054688, train avg acc: 0.054673
Test 9, loss: 3.420633, test acc: 0.051389, test avg acc: 0.051389
Train 10, loss: 3.436203, train acc: 0.054008, train avg acc: 0.054015
Test 10, loss: 3.411257, test acc: 0.088889, test avg acc: 0.088889
Train 11, loss: 3.435676, train acc: 0.047215, train avg acc: 0.047181
Test 11, loss: 3.407911, test acc: 0.076389, test avg acc: 0.076389
Train 12, loss: 3.438762, train acc: 0.050611, train avg acc: 0.050616
Test 12, loss: 3.409100, test acc: 0.065278, test avg acc: 0.065278
Train 13, loss: 3.437536, train acc: 0.050611, train avg acc: 0.050641
Test 13, loss: 3.404655, test acc: 0.043056, test avg acc: 0.043056
Train 14, loss: 3.424756, train acc: 0.060462, train avg acc: 0.060491
Test 14, loss: 3.411138, test acc: 0.055556, test avg acc: 0.055556
Train 15, loss: 3.429696, train acc: 0.052310, train avg acc: 0.052293
Test 15, loss: 3.415891, test acc: 0.056944, test avg acc: 0.056944
Train 16, loss: 3.427593, train acc: 0.059783, train avg acc: 0.059732
Test 16, loss: 3.407487, test acc: 0.072222, test avg acc: 0.072222
Train 17, loss: 3.422651, train acc: 0.053668, train avg acc: 0.053645
Test 17, loss: 3.402185, test acc: 0.091667, test avg acc: 0.091667
Train 18, loss: 3.421876, train acc: 0.061141, train avg acc: 0.061153
Test 18, loss: 3.394254, test acc: 0.088889, test avg acc: 0.088889
Train 19, loss: 3.425138, train acc: 0.054348, train avg acc: 0.054287
Test 19, loss: 3.409085, test acc: 0.048611, test avg acc: 0.048611
Train 20, loss: 3.422729, train acc: 0.052989, train avg acc: 0.052948
Test 20, loss: 3.390959, test acc: 0.063889, test avg acc: 0.063889
Train 21, loss: 3.413764, train acc: 0.056386, train avg acc: 0.056402
Test 21, loss: 3.391305, test acc: 0.080556, test avg acc: 0.080556
Train 22, loss: 3.423600, train acc: 0.057745, train avg acc: 0.057752
Test 22, loss: 3.408120, test acc: 0.070833, test avg acc: 0.070833
Train 23, loss: 3.419549, train acc: 0.063859, train avg acc: 0.063956
Test 23, loss: 3.391014, test acc: 0.068056, test avg acc: 0.068056
Train 24, loss: 3.409345, train acc: 0.060802, train avg acc: 0.060853
Test 24, loss: 3.396796, test acc: 0.087500, test avg acc: 0.087500
Train 25, loss: 3.418873, train acc: 0.052649, train avg acc: 0.052704
Test 25, loss: 3.409231, test acc: 0.045833, test avg acc: 0.045833
Train 26, loss: 3.410478, train acc: 0.057405, train avg acc: 0.057402
Test 26, loss: 3.399545, test acc: 0.054167, test avg acc: 0.054167
Train 27, loss: 3.415574, train acc: 0.056726, train avg acc: 0.056619
Test 27, loss: 3.401814, test acc: 0.079167, test avg acc: 0.079167
Train 28, loss: 3.405518, train acc: 0.066576, train avg acc: 0.066532
Test 28, loss: 3.391396, test acc: 0.063889, test avg acc: 0.063889
Train 29, loss: 3.409155, train acc: 0.065897, train avg acc: 0.065782
Test 29, loss: 3.388326, test acc: 0.086111, test avg acc: 0.086111
Train 30, loss: 3.409543, train acc: 0.053329, train avg acc: 0.053318
Test 30, loss: 3.400004, test acc: 0.095833, test avg acc: 0.095833
Train 31, loss: 3.408294, train acc: 0.058764, train avg acc: 0.058688
Test 31, loss: 3.392055, test acc: 0.069444, test avg acc: 0.069444
Train 32, loss: 3.408368, train acc: 0.058084, train avg acc: 0.058149
Test 32, loss: 3.383663, test acc: 0.088889, test avg acc: 0.088889
Train 33, loss: 3.399863, train acc: 0.064538, train avg acc: 0.064503
Test 33, loss: 3.401502, test acc: 0.055556, test avg acc: 0.055556
Train 34, loss: 3.399151, train acc: 0.061141, train avg acc: 0.061006
Test 34, loss: 3.387502, test acc: 0.086111, test avg acc: 0.086111
Train 35, loss: 3.395292, train acc: 0.063179, train avg acc: 0.063239
Test 35, loss: 3.389056, test acc: 0.081944, test avg acc: 0.081944
Train 36, loss: 3.401592, train acc: 0.063859, train avg acc: 0.063800
Test 36, loss: 3.389641, test acc: 0.083333, test avg acc: 0.083333
Train 37, loss: 3.399603, train acc: 0.057405, train avg acc: 0.057447
Test 37, loss: 3.386178, test acc: 0.077778, test avg acc: 0.077778
Train 38, loss: 3.392870, train acc: 0.058084, train avg acc: 0.058168
Test 38, loss: 3.383092, test acc: 0.108333, test avg acc: 0.108333
Train 39, loss: 3.391834, train acc: 0.069633, train avg acc: 0.069564
Test 39, loss: 3.383757, test acc: 0.102778, test avg acc: 0.102778
Train 40, loss: 3.393136, train acc: 0.067255, train avg acc: 0.067307
Test 40, loss: 3.386762, test acc: 0.073611, test avg acc: 0.073611
Train 41, loss: 3.389293, train acc: 0.062840, train avg acc: 0.062775
Test 41, loss: 3.382111, test acc: 0.090278, test avg acc: 0.090278
Train 42, loss: 3.391739, train acc: 0.062840, train avg acc: 0.062994
Test 42, loss: 3.380522, test acc: 0.086111, test avg acc: 0.086111
Train 43, loss: 3.386485, train acc: 0.067595, train avg acc: 0.067537
Test 43, loss: 3.385953, test acc: 0.081944, test avg acc: 0.081944
Train 44, loss: 3.384150, train acc: 0.068614, train avg acc: 0.068796
Test 44, loss: 3.388184, test acc: 0.097222, test avg acc: 0.097222
Train 45, loss: 3.383081, train acc: 0.075068, train avg acc: 0.074974
Test 45, loss: 3.384291, test acc: 0.076389, test avg acc: 0.076389
Train 46, loss: 3.381941, train acc: 0.071332, train avg acc: 0.071325
