Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=1048, epochs=50, eval=False, exp_name='variation-7', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=7)
Using GPU : 0 from 1 devices
Train 0, loss: 3.803532, train acc: 0.041061, train avg acc: 0.041042
Test 0, loss: 3.572644, test acc: 0.054598, test avg acc: 0.054598
Train 1, loss: 3.727194, train acc: 0.051235, train avg acc: 0.051275
Test 1, loss: 3.457431, test acc: 0.097701, test avg acc: 0.097701
Train 2, loss: 3.575609, train acc: 0.058140, train avg acc: 0.058239
Test 2, loss: 3.452528, test acc: 0.073276, test avg acc: 0.073276
Train 3, loss: 3.509220, train acc: 0.067224, train avg acc: 0.067283
Test 3, loss: 3.375974, test acc: 0.091954, test avg acc: 0.091954
Train 4, loss: 3.467531, train acc: 0.061773, train avg acc: 0.061703
Test 4, loss: 3.370051, test acc: 0.096264, test avg acc: 0.096264
Train 5, loss: 3.440290, train acc: 0.078125, train avg acc: 0.078086
Test 5, loss: 3.365495, test acc: 0.123563, test avg acc: 0.123563
Train 6, loss: 3.434491, train acc: 0.078852, train avg acc: 0.078804
Test 6, loss: 3.361240, test acc: 0.103448, test avg acc: 0.103448
Train 7, loss: 3.416801, train acc: 0.074855, train avg acc: 0.074793
Test 7, loss: 3.377499, test acc: 0.126437, test avg acc: 0.126437
Train 8, loss: 3.396839, train acc: 0.085392, train avg acc: 0.085266
Test 8, loss: 3.345433, test acc: 0.096264, test avg acc: 0.096264
Train 9, loss: 3.395793, train acc: 0.083939, train avg acc: 0.084053
Test 9, loss: 3.341125, test acc: 0.090517, test avg acc: 0.090517
Train 10, loss: 3.381415, train acc: 0.077762, train avg acc: 0.077759
Test 10, loss: 3.351390, test acc: 0.119253, test avg acc: 0.119253
Train 11, loss: 3.379079, train acc: 0.086119, train avg acc: 0.086124
Test 11, loss: 3.340562, test acc: 0.109195, test avg acc: 0.109195
Train 12, loss: 3.382844, train acc: 0.083939, train avg acc: 0.083956
Test 12, loss: 3.356326, test acc: 0.093391, test avg acc: 0.093391
Train 13, loss: 3.362695, train acc: 0.083576, train avg acc: 0.083573
Test 13, loss: 3.342839, test acc: 0.097701, test avg acc: 0.097701
Train 14, loss: 3.362786, train acc: 0.086846, train avg acc: 0.086849
Test 14, loss: 3.320128, test acc: 0.132184, test avg acc: 0.132184
Train 15, loss: 3.344173, train acc: 0.087936, train avg acc: 0.087920
Test 15, loss: 3.316504, test acc: 0.106322, test avg acc: 0.106322
Train 16, loss: 3.338082, train acc: 0.091206, train avg acc: 0.091201
Test 16, loss: 3.306898, test acc: 0.143678, test avg acc: 0.143678
Train 17, loss: 3.330494, train acc: 0.099564, train avg acc: 0.099431
Test 17, loss: 3.299536, test acc: 0.122126, test avg acc: 0.122126
Train 18, loss: 3.335143, train acc: 0.096657, train avg acc: 0.096479
Test 18, loss: 3.276921, test acc: 0.099138, test avg acc: 0.099138
Train 19, loss: 3.316977, train acc: 0.091570, train avg acc: 0.091652
Test 19, loss: 3.275385, test acc: 0.127874, test avg acc: 0.127874
Train 20, loss: 3.298548, train acc: 0.107922, train avg acc: 0.107861
Test 20, loss: 3.264161, test acc: 0.145115, test avg acc: 0.145115
Train 21, loss: 3.285303, train acc: 0.114099, train avg acc: 0.114355
Test 21, loss: 3.384354, test acc: 0.107759, test avg acc: 0.107759
Train 22, loss: 3.295168, train acc: 0.099927, train avg acc: 0.100067
Test 22, loss: 3.332342, test acc: 0.102011, test avg acc: 0.102011
Train 23, loss: 3.277296, train acc: 0.110465, train avg acc: 0.110317
Test 23, loss: 3.277209, test acc: 0.125000, test avg acc: 0.125000
Train 24, loss: 3.259654, train acc: 0.107558, train avg acc: 0.107573
Test 24, loss: 3.235267, test acc: 0.146552, test avg acc: 0.146552
Train 25, loss: 3.263598, train acc: 0.113372, train avg acc: 0.113317
Test 25, loss: 3.183194, test acc: 0.169540, test avg acc: 0.169540
Train 26, loss: 3.240382, train acc: 0.121366, train avg acc: 0.121228
Test 26, loss: 3.188559, test acc: 0.186782, test avg acc: 0.186782
Train 27, loss: 3.236893, train acc: 0.122820, train avg acc: 0.122829
Test 27, loss: 3.177892, test acc: 0.196839, test avg acc: 0.196839
Train 28, loss: 3.222452, train acc: 0.130814, train avg acc: 0.130766
Test 28, loss: 3.251735, test acc: 0.133621, test avg acc: 0.133621
Train 29, loss: 3.202554, train acc: 0.134084, train avg acc: 0.133963
Test 29, loss: 3.181471, test acc: 0.182471, test avg acc: 0.182471
Train 30, loss: 3.216309, train acc: 0.132994, train avg acc: 0.133091
Test 30, loss: 3.165822, test acc: 0.183908, test avg acc: 0.183908
Train 31, loss: 3.198826, train acc: 0.138808, train avg acc: 0.138850
Test 31, loss: 3.198966, test acc: 0.168103, test avg acc: 0.168103
Train 32, loss: 3.174485, train acc: 0.142078, train avg acc: 0.141988
Test 32, loss: 3.140808, test acc: 0.201149, test avg acc: 0.201149
Train 33, loss: 3.189584, train acc: 0.142078, train avg acc: 0.141865
Test 33, loss: 3.110996, test acc: 0.222701, test avg acc: 0.222701
Train 34, loss: 3.164168, train acc: 0.142805, train avg acc: 0.142824
Test 34, loss: 3.107992, test acc: 0.208333, test avg acc: 0.208333
Train 35, loss: 3.157659, train acc: 0.148619, train avg acc: 0.148627
Test 35, loss: 3.081684, test acc: 0.212644, test avg acc: 0.212644
Train 36, loss: 3.146326, train acc: 0.159157, train avg acc: 0.158950
Test 36, loss: 3.139168, test acc: 0.202586, test avg acc: 0.202586
Train 37, loss: 3.132311, train acc: 0.156613, train avg acc: 0.156685
Test 37, loss: 3.081184, test acc: 0.199713, test avg acc: 0.199713
Train 38, loss: 3.123418, train acc: 0.159884, train avg acc: 0.159938
Test 38, loss: 3.186521, test acc: 0.137931, test avg acc: 0.137931
Train 39, loss: 3.119304, train acc: 0.169331, train avg acc: 0.169114
Test 39, loss: 3.139930, test acc: 0.198276, test avg acc: 0.198276
Train 40, loss: 3.116777, train acc: 0.167151, train avg acc: 0.167020
Test 40, loss: 3.040687, test acc: 0.247126, test avg acc: 0.247126
Train 41, loss: 3.106959, train acc: 0.164971, train avg acc: 0.165125
Test 41, loss: 3.063828, test acc: 0.215517, test avg acc: 0.215517
Train 42, loss: 3.104284, train acc: 0.168241, train avg acc: 0.168225
Test 42, loss: 3.047645, test acc: 0.215517, test avg acc: 0.215517
Train 43, loss: 3.088287, train acc: 0.176599, train avg acc: 0.176789
Test 43, loss: 3.135178, test acc: 0.185345, test avg acc: 0.185345
Train 44, loss: 3.081554, train acc: 0.165334, train avg acc: 0.165364
Test 44, loss: 3.077307, test acc: 0.199713, test avg acc: 0.199713
Train 45, loss: 3.077859, train acc: 0.176235, train avg acc: 0.176481
Test 45, loss: 3.048728, test acc: 0.238506, test avg acc: 0.238506
Train 46, loss: 3.090352, train acc: 0.176599, train avg acc: 0.176791
Test 46, loss: 3.043010, test acc: 0.206897, test avg acc: 0.206897
Train 47, loss: 3.090255, train acc: 0.166424, train avg acc: 0.166571
Test 47, loss: 3.051773, test acc: 0.222701, test avg acc: 0.222701
Train 48, loss: 3.065308, train acc: 0.176962, train avg acc: 0.176793
Test 48, loss: 3.041192, test acc: 0.229885, test avg acc: 0.229885
Train 49, loss: 3.067735, train acc: 0.180596, train avg acc: 0.180680
Test 49, loss: 3.030455, test acc: 0.247126, test avg acc: 0.247126
