Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=50, eval=False, exp_name='variation-28', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=28)
Using GPU : 0 from 1 devices
Train 0, loss: 3.855990, train acc: 0.038254, train avg acc: 0.038238
Test 0, loss: 3.841896, test acc: 0.038889, test avg acc: 0.038889
Train 1, loss: 3.754336, train acc: 0.035560, train avg acc: 0.035538
Test 1, loss: 3.495227, test acc: 0.040278, test avg acc: 0.040278
Train 2, loss: 3.551535, train acc: 0.046606, train avg acc: 0.046655
Test 2, loss: 3.475563, test acc: 0.031944, test avg acc: 0.031944
Train 3, loss: 3.504503, train acc: 0.045528, train avg acc: 0.045444
Test 3, loss: 3.439071, test acc: 0.051389, test avg acc: 0.051389
Train 4, loss: 3.479494, train acc: 0.047414, train avg acc: 0.047362
Test 4, loss: 3.457686, test acc: 0.048611, test avg acc: 0.048611
Train 5, loss: 3.474195, train acc: 0.045797, train avg acc: 0.045731
Test 5, loss: 3.440877, test acc: 0.038889, test avg acc: 0.038889
Train 6, loss: 3.458779, train acc: 0.044181, train avg acc: 0.044049
Test 6, loss: 3.430638, test acc: 0.047222, test avg acc: 0.047222
Train 7, loss: 3.452307, train acc: 0.051994, train avg acc: 0.052061
Test 7, loss: 3.419962, test acc: 0.062500, test avg acc: 0.062500
Train 8, loss: 3.450184, train acc: 0.048761, train avg acc: 0.048712
Test 8, loss: 3.409493, test acc: 0.065278, test avg acc: 0.065278
Train 9, loss: 3.439832, train acc: 0.050377, train avg acc: 0.050349
Test 9, loss: 3.419938, test acc: 0.040278, test avg acc: 0.040278
Train 10, loss: 3.437032, train acc: 0.054418, train avg acc: 0.054410
Test 10, loss: 3.404297, test acc: 0.068056, test avg acc: 0.068056
Train 11, loss: 3.437438, train acc: 0.054149, train avg acc: 0.054013
Test 11, loss: 3.407575, test acc: 0.063889, test avg acc: 0.063889
Train 12, loss: 3.427862, train acc: 0.057381, train avg acc: 0.057220
Test 12, loss: 3.407741, test acc: 0.073611, test avg acc: 0.073611
Train 13, loss: 3.433023, train acc: 0.051185, train avg acc: 0.051214
Test 13, loss: 3.410429, test acc: 0.076389, test avg acc: 0.076389
Train 14, loss: 3.425712, train acc: 0.055765, train avg acc: 0.055799
Test 14, loss: 3.400659, test acc: 0.070833, test avg acc: 0.070833
Train 15, loss: 3.425512, train acc: 0.052802, train avg acc: 0.052753
Test 15, loss: 3.398624, test acc: 0.081944, test avg acc: 0.081944
Train 16, loss: 3.425291, train acc: 0.049300, train avg acc: 0.049306
Test 16, loss: 3.400650, test acc: 0.065278, test avg acc: 0.065278
Train 17, loss: 3.412849, train acc: 0.063039, train avg acc: 0.062997
Test 17, loss: 3.403279, test acc: 0.052778, test avg acc: 0.052778
Train 18, loss: 3.416431, train acc: 0.058190, train avg acc: 0.058390
Test 18, loss: 3.394214, test acc: 0.069444, test avg acc: 0.069444
Train 19, loss: 3.417611, train acc: 0.060884, train avg acc: 0.060931
Test 19, loss: 3.393909, test acc: 0.101389, test avg acc: 0.101389
Train 20, loss: 3.405663, train acc: 0.063039, train avg acc: 0.062933
Test 20, loss: 3.398309, test acc: 0.075000, test avg acc: 0.075000
Train 21, loss: 3.410041, train acc: 0.061153, train avg acc: 0.061238
Test 21, loss: 3.381474, test acc: 0.093056, test avg acc: 0.093056
Train 22, loss: 3.406386, train acc: 0.064925, train avg acc: 0.064824
Test 22, loss: 3.368932, test acc: 0.094444, test avg acc: 0.094444
Train 23, loss: 3.405417, train acc: 0.068157, train avg acc: 0.068115
Test 23, loss: 3.373101, test acc: 0.095833, test avg acc: 0.095833
Train 24, loss: 3.400062, train acc: 0.063578, train avg acc: 0.063647
Test 24, loss: 3.371068, test acc: 0.091667, test avg acc: 0.091667
Train 25, loss: 3.404600, train acc: 0.072468, train avg acc: 0.072483
Test 25, loss: 3.370585, test acc: 0.097222, test avg acc: 0.097222
Train 26, loss: 3.394911, train acc: 0.068427, train avg acc: 0.068903
Test 26, loss: 3.379369, test acc: 0.069444, test avg acc: 0.069444
Train 27, loss: 3.386484, train acc: 0.067888, train avg acc: 0.067802
Test 27, loss: 3.373971, test acc: 0.130556, test avg acc: 0.130556
Train 28, loss: 3.391249, train acc: 0.067080, train avg acc: 0.067063
Test 28, loss: 3.382212, test acc: 0.091667, test avg acc: 0.091667
Train 29, loss: 3.389422, train acc: 0.073006, train avg acc: 0.072774
Test 29, loss: 3.368157, test acc: 0.112500, test avg acc: 0.112500
Train 30, loss: 3.379212, train acc: 0.076239, train avg acc: 0.076608
Test 30, loss: 3.365904, test acc: 0.141667, test avg acc: 0.141667
Train 31, loss: 3.379852, train acc: 0.076778, train avg acc: 0.076917
Test 31, loss: 3.363367, test acc: 0.125000, test avg acc: 0.125000
Train 32, loss: 3.380687, train acc: 0.073815, train avg acc: 0.073894
Test 32, loss: 3.366159, test acc: 0.104167, test avg acc: 0.104167
Train 33, loss: 3.380342, train acc: 0.077586, train avg acc: 0.077605
Test 33, loss: 3.361087, test acc: 0.147222, test avg acc: 0.147222
Train 34, loss: 3.378121, train acc: 0.070851, train avg acc: 0.070773
Test 34, loss: 3.358840, test acc: 0.175000, test avg acc: 0.175000
Train 35, loss: 3.381803, train acc: 0.078933, train avg acc: 0.079115
Test 35, loss: 3.362990, test acc: 0.147222, test avg acc: 0.147222
Train 36, loss: 3.370624, train acc: 0.081358, train avg acc: 0.081255
Test 36, loss: 3.360890, test acc: 0.137500, test avg acc: 0.137500
Train 37, loss: 3.376835, train acc: 0.078664, train avg acc: 0.078439
Test 37, loss: 3.361459, test acc: 0.145833, test avg acc: 0.145833
Train 38, loss: 3.373126, train acc: 0.074084, train avg acc: 0.074178
Test 38, loss: 3.358641, test acc: 0.141667, test avg acc: 0.141667
Train 39, loss: 3.373102, train acc: 0.083244, train avg acc: 0.082906
Test 39, loss: 3.363164, test acc: 0.131944, test avg acc: 0.131944
Train 40, loss: 3.365948, train acc: 0.082166, train avg acc: 0.082059
Test 40, loss: 3.352257, test acc: 0.154167, test avg acc: 0.154167
Train 41, loss: 3.367588, train acc: 0.082435, train avg acc: 0.082110
Test 41, loss: 3.352815, test acc: 0.131944, test avg acc: 0.131944
Train 42, loss: 3.370467, train acc: 0.084052, train avg acc: 0.084033
Test 42, loss: 3.353220, test acc: 0.140278, test avg acc: 0.140278
Train 43, loss: 3.370656, train acc: 0.083782, train avg acc: 0.084016
Test 43, loss: 3.352347, test acc: 0.158333, test avg acc: 0.158333
Train 44, loss: 3.371645, train acc: 0.085938, train avg acc: 0.085907
Test 44, loss: 3.350086, test acc: 0.154167, test avg acc: 0.154167
Train 45, loss: 3.364255, train acc: 0.082166, train avg acc: 0.082350
Test 45, loss: 3.350517, test acc: 0.168056, test avg acc: 0.168056
Train 46, loss: 3.363956, train acc: 0.074353, train avg acc: 0.074189
Test 46, loss: 3.350102, test acc: 0.143056, test avg acc: 0.143056
Train 47, loss: 3.361814, train acc: 0.084321, train avg acc: 0.084074
Test 47, loss: 3.348343, test acc: 0.144444, test avg acc: 0.144444
Train 48, loss: 3.352515, train acc: 0.086207, train avg acc: 0.086232
Test 48, loss: 3.350152, test acc: 0.169444, test avg acc: 0.169444
Train 49, loss: 3.361439, train acc: 0.083782, train avg acc: 0.083954
Test 49, loss: 3.354521, test acc: 0.141667, test avg acc: 0.141667
