,time
1,188.8151062864754
2,163.65748070955277
3,77.721349692697
4,73.02198256919132
5,189.1882353530776
6,182.20527576715753
7,92.5143271831756
8,85.00356126467386
9,164.09583853643673
10,162.41097364985214
11,75.04666821800883
12,71.71940068930996
13,205.148859980155
14,197.6591816435055
15,95.54135930480027
16,89.05938271338565
