Namespace(batch_size=16, dataset='modelnet40', dropout=0.5, emb_dims=1048, epochs=50, eval=False, exp_name='variation-5', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=5)
Using GPU : 0 from 1 devices
Train 0, loss: 3.919341, train acc: 0.042969, train avg acc: 0.042969
Test 0, loss: 3.473851, test acc: 0.037037, test avg acc: 0.037037
Train 1, loss: 3.493811, train acc: 0.048177, train avg acc: 0.048177
Test 1, loss: 3.405908, test acc: 0.054012, test avg acc: 0.054012
Train 2, loss: 3.455776, train acc: 0.055990, train avg acc: 0.055990
Test 2, loss: 3.420456, test acc: 0.069444, test avg acc: 0.069444
Train 3, loss: 3.441116, train acc: 0.059245, train avg acc: 0.059245
Test 3, loss: 3.419892, test acc: 0.070988, test avg acc: 0.070988
Train 4, loss: 3.429436, train acc: 0.058594, train avg acc: 0.058594
Test 4, loss: 3.412504, test acc: 0.077160, test avg acc: 0.077160
Train 5, loss: 3.428814, train acc: 0.051758, train avg acc: 0.051758
Test 5, loss: 3.396589, test acc: 0.070988, test avg acc: 0.070988
Train 6, loss: 3.424517, train acc: 0.057617, train avg acc: 0.057617
Test 6, loss: 3.396972, test acc: 0.080247, test avg acc: 0.080247
Train 7, loss: 3.419561, train acc: 0.062500, train avg acc: 0.062500
Test 7, loss: 3.397511, test acc: 0.041667, test avg acc: 0.041667
Train 8, loss: 3.419182, train acc: 0.070312, train avg acc: 0.070312
Test 8, loss: 3.378335, test acc: 0.097222, test avg acc: 0.097222
Train 9, loss: 3.413335, train acc: 0.069661, train avg acc: 0.069661
Test 9, loss: 3.353094, test acc: 0.112654, test avg acc: 0.112654
Train 10, loss: 3.400352, train acc: 0.064453, train avg acc: 0.064453
Test 10, loss: 3.384430, test acc: 0.069444, test avg acc: 0.069444
Train 11, loss: 3.401023, train acc: 0.068685, train avg acc: 0.068685
Test 11, loss: 3.370443, test acc: 0.146605, test avg acc: 0.146605
Train 12, loss: 3.405324, train acc: 0.064453, train avg acc: 0.064453
Test 12, loss: 3.389543, test acc: 0.070988, test avg acc: 0.070988
Train 13, loss: 3.397640, train acc: 0.066081, train avg acc: 0.066081
Test 13, loss: 3.353380, test acc: 0.061728, test avg acc: 0.061728
Train 14, loss: 3.404150, train acc: 0.066732, train avg acc: 0.066732
Test 14, loss: 3.376237, test acc: 0.092593, test avg acc: 0.092593
Train 15, loss: 3.393628, train acc: 0.070638, train avg acc: 0.070638
Test 15, loss: 3.335285, test acc: 0.081790, test avg acc: 0.081790
Train 16, loss: 3.396476, train acc: 0.064779, train avg acc: 0.064779
Test 16, loss: 3.354432, test acc: 0.095679, test avg acc: 0.095679
Train 17, loss: 3.389966, train acc: 0.077148, train avg acc: 0.077148
Test 17, loss: 3.355482, test acc: 0.095679, test avg acc: 0.095679
Train 18, loss: 3.383081, train acc: 0.071615, train avg acc: 0.071615
Test 18, loss: 3.330689, test acc: 0.152778, test avg acc: 0.152778
Train 19, loss: 3.377857, train acc: 0.077799, train avg acc: 0.077799
Test 19, loss: 3.349864, test acc: 0.084877, test avg acc: 0.084877
Train 20, loss: 3.375864, train acc: 0.079753, train avg acc: 0.079753
Test 20, loss: 3.339872, test acc: 0.104938, test avg acc: 0.104938
Train 21, loss: 3.371919, train acc: 0.079102, train avg acc: 0.079102
Test 21, loss: 3.340661, test acc: 0.118827, test avg acc: 0.118827
Train 22, loss: 3.373966, train acc: 0.078125, train avg acc: 0.078125
Test 22, loss: 3.325787, test acc: 0.115741, test avg acc: 0.115741
Train 23, loss: 3.352510, train acc: 0.091797, train avg acc: 0.091797
Test 23, loss: 3.289411, test acc: 0.158951, test avg acc: 0.158951
Train 24, loss: 3.343449, train acc: 0.082357, train avg acc: 0.082357
Test 24, loss: 3.281098, test acc: 0.089506, test avg acc: 0.089506
Train 25, loss: 3.342071, train acc: 0.095703, train avg acc: 0.095703
Test 25, loss: 3.277159, test acc: 0.174383, test avg acc: 0.174383
Train 26, loss: 3.338850, train acc: 0.089193, train avg acc: 0.089193
Test 26, loss: 3.259082, test acc: 0.179012, test avg acc: 0.179012
Train 27, loss: 3.331343, train acc: 0.100911, train avg acc: 0.100911
Test 27, loss: 3.269570, test acc: 0.182099, test avg acc: 0.182099
Train 28, loss: 3.329599, train acc: 0.089193, train avg acc: 0.089193
Test 28, loss: 3.274775, test acc: 0.092593, test avg acc: 0.092593
Train 29, loss: 3.316915, train acc: 0.104492, train avg acc: 0.104492
Test 29, loss: 3.279388, test acc: 0.131173, test avg acc: 0.131173
Train 30, loss: 3.293140, train acc: 0.097982, train avg acc: 0.097982
Test 30, loss: 3.204581, test acc: 0.146605, test avg acc: 0.146605
Train 31, loss: 3.297240, train acc: 0.091797, train avg acc: 0.091797
Test 31, loss: 3.240742, test acc: 0.148148, test avg acc: 0.148148
Train 32, loss: 3.283707, train acc: 0.102865, train avg acc: 0.102865
Test 32, loss: 3.200498, test acc: 0.205247, test avg acc: 0.205247
Train 33, loss: 3.271812, train acc: 0.109049, train avg acc: 0.109049
Test 33, loss: 3.316303, test acc: 0.097222, test avg acc: 0.097222
Train 34, loss: 3.261544, train acc: 0.119792, train avg acc: 0.119792
Test 34, loss: 3.150081, test acc: 0.185185, test avg acc: 0.185185
Train 35, loss: 3.251961, train acc: 0.124349, train avg acc: 0.124349
Test 35, loss: 3.158928, test acc: 0.226852, test avg acc: 0.226852
Train 36, loss: 3.253261, train acc: 0.109049, train avg acc: 0.109049
Test 36, loss: 3.175653, test acc: 0.211420, test avg acc: 0.211420
Train 37, loss: 3.226674, train acc: 0.118164, train avg acc: 0.118164
Test 37, loss: 3.128459, test acc: 0.240741, test avg acc: 0.240741
Train 38, loss: 3.230089, train acc: 0.122396, train avg acc: 0.122396
Test 38, loss: 3.143851, test acc: 0.203704, test avg acc: 0.203704
Train 39, loss: 3.211448, train acc: 0.120117, train avg acc: 0.120117
Test 39, loss: 3.231792, test acc: 0.145062, test avg acc: 0.145062
Train 40, loss: 3.204788, train acc: 0.124023, train avg acc: 0.124023
Test 40, loss: 3.138297, test acc: 0.191358, test avg acc: 0.191358
Train 41, loss: 3.191600, train acc: 0.140299, train avg acc: 0.140299
Test 41, loss: 3.096890, test acc: 0.245370, test avg acc: 0.245370
Train 42, loss: 3.186713, train acc: 0.136068, train avg acc: 0.136068
Test 42, loss: 3.079145, test acc: 0.268519, test avg acc: 0.268519
Train 43, loss: 3.182111, train acc: 0.131510, train avg acc: 0.131510
Test 43, loss: 3.074309, test acc: 0.202160, test avg acc: 0.202160
Train 44, loss: 3.161700, train acc: 0.139648, train avg acc: 0.139648
Test 44, loss: 3.133373, test acc: 0.179012, test avg acc: 0.179012
Train 45, loss: 3.161301, train acc: 0.142904, train avg acc: 0.142904
Test 45, loss: 3.046684, test acc: 0.262346, test avg acc: 0.262346
Train 46, loss: 3.165233, train acc: 0.140951, train avg acc: 0.140951
Test 46, loss: 3.066426, test acc: 0.237654, test avg acc: 0.237654
Train 47, loss: 3.162712, train acc: 0.140299, train avg acc: 0.140299
Test 47, loss: 3.046547, test acc: 0.276235, test avg acc: 0.276235
Train 48, loss: 3.146908, train acc: 0.140299, train avg acc: 0.140299
Test 48, loss: 3.050417, test acc: 0.276235, test avg acc: 0.276235
Train 49, loss: 3.150877, train acc: 0.144206, train avg acc: 0.144206
Test 49, loss: 3.090307, test acc: 0.192901, test avg acc: 0.192901
