Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=50, eval=False, exp_name='variation-16', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=16)
Using GPU : 0 from 1 devices
Train 0, loss: 3.739998, train acc: 0.037022, train avg acc: 0.037025
Test 0, loss: 3.480658, test acc: 0.042508, test avg acc: 0.042508
Train 1, loss: 3.497120, train acc: 0.040406, train avg acc: 0.040400
Test 1, loss: 3.458012, test acc: 0.039141, test avg acc: 0.039141
Train 2, loss: 3.461975, train acc: 0.042098, train avg acc: 0.042109
Test 2, loss: 3.433722, test acc: 0.046717, test avg acc: 0.046717
Train 3, loss: 3.445698, train acc: 0.049861, train avg acc: 0.049819
Test 3, loss: 3.420079, test acc: 0.051768, test avg acc: 0.051768
Train 4, loss: 3.436150, train acc: 0.054538, train avg acc: 0.054569
Test 4, loss: 3.425732, test acc: 0.053030, test avg acc: 0.053030
Train 5, loss: 3.428468, train acc: 0.055036, train avg acc: 0.055064
Test 5, loss: 3.423698, test acc: 0.058081, test avg acc: 0.058081
Train 6, loss: 3.420719, train acc: 0.061007, train avg acc: 0.060967
Test 6, loss: 3.365807, test acc: 0.144781, test avg acc: 0.144781
Train 7, loss: 3.410942, train acc: 0.066083, train avg acc: 0.066192
Test 7, loss: 3.374481, test acc: 0.095539, test avg acc: 0.095539
Train 8, loss: 3.399631, train acc: 0.071656, train avg acc: 0.071620
Test 8, loss: 3.356423, test acc: 0.093434, test avg acc: 0.093434
Train 9, loss: 3.392705, train acc: 0.069666, train avg acc: 0.069619
Test 9, loss: 3.347639, test acc: 0.117003, test avg acc: 0.117003
Train 10, loss: 3.383760, train acc: 0.075936, train avg acc: 0.075978
Test 10, loss: 3.352352, test acc: 0.114899, test avg acc: 0.114899
Train 11, loss: 3.382038, train acc: 0.077329, train avg acc: 0.077329
Test 11, loss: 3.361226, test acc: 0.106902, test avg acc: 0.106902
Train 12, loss: 3.380493, train acc: 0.074244, train avg acc: 0.074275
Test 12, loss: 3.350620, test acc: 0.098064, test avg acc: 0.098064
