Namespace(batch_size=16, dataset='modelnet40', dropout=0.5, emb_dims=1048, epochs=50, eval=False, exp_name='variation-21', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=21)
Using GPU : 0 from 1 devices
Train 0, loss: 3.928006, train acc: 0.034420, train avg acc: 0.034420
Test 0, loss: 3.488037, test acc: 0.043210, test avg acc: 0.043210
Train 1, loss: 3.497032, train acc: 0.043780, train avg acc: 0.043780
Test 1, loss: 3.437065, test acc: 0.047840, test avg acc: 0.047840
Train 2, loss: 3.461270, train acc: 0.057971, train avg acc: 0.057971
Test 2, loss: 3.406983, test acc: 0.103395, test avg acc: 0.103395
Train 3, loss: 3.450930, train acc: 0.056763, train avg acc: 0.056763
Test 3, loss: 3.392998, test acc: 0.086420, test avg acc: 0.086420
Train 4, loss: 3.436687, train acc: 0.059783, train avg acc: 0.059783
Test 4, loss: 3.383137, test acc: 0.081790, test avg acc: 0.081790
Train 5, loss: 3.431394, train acc: 0.063406, train avg acc: 0.063406
Test 5, loss: 3.380543, test acc: 0.101852, test avg acc: 0.101852
Train 6, loss: 3.424258, train acc: 0.063406, train avg acc: 0.063406
Test 6, loss: 3.383077, test acc: 0.066358, test avg acc: 0.066358
Train 7, loss: 3.416307, train acc: 0.070350, train avg acc: 0.070350
Test 7, loss: 3.383056, test acc: 0.075617, test avg acc: 0.075617
Train 8, loss: 3.419392, train acc: 0.059783, train avg acc: 0.059783
Test 8, loss: 3.394659, test acc: 0.080247, test avg acc: 0.080247
Train 9, loss: 3.416886, train acc: 0.060386, train avg acc: 0.060386
Test 9, loss: 3.374492, test acc: 0.131173, test avg acc: 0.131173
Train 10, loss: 3.406440, train acc: 0.065519, train avg acc: 0.065519
Test 10, loss: 3.369389, test acc: 0.055556, test avg acc: 0.055556
Train 11, loss: 3.399103, train acc: 0.074577, train avg acc: 0.074577
Test 11, loss: 3.360258, test acc: 0.120370, test avg acc: 0.120370
Train 12, loss: 3.397372, train acc: 0.071860, train avg acc: 0.071860
Test 12, loss: 3.374878, test acc: 0.064815, test avg acc: 0.064815
Train 13, loss: 3.396399, train acc: 0.067331, train avg acc: 0.067331
Test 13, loss: 3.365606, test acc: 0.077160, test avg acc: 0.077160
Train 14, loss: 3.399842, train acc: 0.068539, train avg acc: 0.068539
Test 14, loss: 3.335101, test acc: 0.120370, test avg acc: 0.120370
Train 15, loss: 3.409721, train acc: 0.064010, train avg acc: 0.064010
Test 15, loss: 3.377559, test acc: 0.114198, test avg acc: 0.114198
Train 16, loss: 3.399431, train acc: 0.065821, train avg acc: 0.065821
Test 16, loss: 3.348826, test acc: 0.098765, test avg acc: 0.098765
Train 17, loss: 3.385292, train acc: 0.079408, train avg acc: 0.079408
Test 17, loss: 3.356620, test acc: 0.109568, test avg acc: 0.109568
Train 18, loss: 3.376690, train acc: 0.080012, train avg acc: 0.080012
Test 18, loss: 3.345926, test acc: 0.115741, test avg acc: 0.115741
Train 19, loss: 3.379016, train acc: 0.072162, train avg acc: 0.072162
Test 19, loss: 3.336620, test acc: 0.100309, test avg acc: 0.100309
Train 20, loss: 3.379549, train acc: 0.074275, train avg acc: 0.074275
Test 20, loss: 3.343086, test acc: 0.121914, test avg acc: 0.121914
Train 21, loss: 3.381849, train acc: 0.070350, train avg acc: 0.070350
Test 21, loss: 3.349090, test acc: 0.100309, test avg acc: 0.100309
Train 22, loss: 3.377783, train acc: 0.075483, train avg acc: 0.075483
Test 22, loss: 3.354020, test acc: 0.128086, test avg acc: 0.128086
Train 23, loss: 3.363076, train acc: 0.077597, train avg acc: 0.077597
Test 23, loss: 3.322053, test acc: 0.126543, test avg acc: 0.126543
Train 24, loss: 3.356666, train acc: 0.080616, train avg acc: 0.080616
Test 24, loss: 3.321681, test acc: 0.137346, test avg acc: 0.137346
Train 25, loss: 3.353959, train acc: 0.085447, train avg acc: 0.085447
Test 25, loss: 3.309106, test acc: 0.140432, test avg acc: 0.140432
Train 26, loss: 3.339303, train acc: 0.087258, train avg acc: 0.087258
Test 26, loss: 3.327119, test acc: 0.097222, test avg acc: 0.097222
Train 27, loss: 3.326539, train acc: 0.098430, train avg acc: 0.098430
Test 27, loss: 3.274006, test acc: 0.132716, test avg acc: 0.132716
Train 28, loss: 3.326792, train acc: 0.091787, train avg acc: 0.091787
Test 28, loss: 3.317790, test acc: 0.095679, test avg acc: 0.095679
Train 29, loss: 3.303464, train acc: 0.097222, train avg acc: 0.097222
Test 29, loss: 3.254722, test acc: 0.135802, test avg acc: 0.135802
Train 30, loss: 3.309556, train acc: 0.096920, train avg acc: 0.096920
Test 30, loss: 3.268165, test acc: 0.106481, test avg acc: 0.106481
Train 31, loss: 3.283607, train acc: 0.103865, train avg acc: 0.103865
Test 31, loss: 3.267633, test acc: 0.117284, test avg acc: 0.117284
Train 32, loss: 3.292344, train acc: 0.102355, train avg acc: 0.102355
Test 32, loss: 3.227361, test acc: 0.168210, test avg acc: 0.168210
Train 33, loss: 3.275833, train acc: 0.108092, train avg acc: 0.108092
Test 33, loss: 3.210118, test acc: 0.179012, test avg acc: 0.179012
Train 34, loss: 3.272081, train acc: 0.122585, train avg acc: 0.122585
Test 34, loss: 3.202702, test acc: 0.137346, test avg acc: 0.137346
Train 35, loss: 3.245773, train acc: 0.114130, train avg acc: 0.114130
Test 35, loss: 3.183154, test acc: 0.171296, test avg acc: 0.171296
