Namespace(batch_size=16, dataset='modelnet40', dropout=0.5, emb_dims=1048, epochs=50, eval=False, exp_name='variation-29', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=29)
Using GPU : 0 from 1 devices
Train 0, loss: 3.635015, train acc: 0.041758, train avg acc: 0.041758
Test 0, loss: 3.454912, test acc: 0.040498, test avg acc: 0.040498
Train 1, loss: 3.460493, train acc: 0.044328, train avg acc: 0.044328
Test 1, loss: 3.454838, test acc: 0.040109, test avg acc: 0.040109
Train 2, loss: 3.456769, train acc: 0.043410, train avg acc: 0.043410
Test 2, loss: 3.436399, test acc: 0.042056, test avg acc: 0.042056
Train 3, loss: 3.452091, train acc: 0.037904, train avg acc: 0.037904
Test 3, loss: 3.442641, test acc: 0.039330, test avg acc: 0.039330
Train 4, loss: 3.448241, train acc: 0.042309, train avg acc: 0.042309
Test 4, loss: 3.444537, test acc: 0.039330, test avg acc: 0.039330
Train 5, loss: 3.447052, train acc: 0.041575, train avg acc: 0.041575
Test 5, loss: 3.444473, test acc: 0.040498, test avg acc: 0.040498
Train 6, loss: 3.445328, train acc: 0.039556, train avg acc: 0.039556
Test 6, loss: 3.436255, test acc: 0.042056, test avg acc: 0.042056
Train 7, loss: 3.444511, train acc: 0.042676, train avg acc: 0.042676
Test 7, loss: 3.439710, test acc: 0.041667, test avg acc: 0.041667
Train 8, loss: 3.443073, train acc: 0.040841, train avg acc: 0.040841
Test 8, loss: 3.445178, test acc: 0.040109, test avg acc: 0.040109
Train 9, loss: 3.442176, train acc: 0.042860, train avg acc: 0.042860
Test 9, loss: 3.438594, test acc: 0.040109, test avg acc: 0.040109
Train 10, loss: 3.441562, train acc: 0.041667, train avg acc: 0.041667
Test 10, loss: 3.440677, test acc: 0.043224, test avg acc: 0.043224
Train 11, loss: 3.442393, train acc: 0.039556, train avg acc: 0.039556
Test 11, loss: 3.439480, test acc: 0.042445, test avg acc: 0.042445
Train 12, loss: 3.440747, train acc: 0.041116, train avg acc: 0.041116
Test 12, loss: 3.441204, test acc: 0.040498, test avg acc: 0.040498
Train 13, loss: 3.440081, train acc: 0.042034, train avg acc: 0.042034
Test 13, loss: 3.436891, test acc: 0.040109, test avg acc: 0.040109
Train 14, loss: 3.440850, train acc: 0.039464, train avg acc: 0.039464
Test 14, loss: 3.436453, test acc: 0.040498, test avg acc: 0.040498
Train 15, loss: 3.440213, train acc: 0.041758, train avg acc: 0.041758
Test 15, loss: 3.440893, test acc: 0.040109, test avg acc: 0.040109
Train 16, loss: 3.439697, train acc: 0.038363, train avg acc: 0.038363
Test 16, loss: 3.436154, test acc: 0.039720, test avg acc: 0.039720
Train 17, loss: 3.439167, train acc: 0.038454, train avg acc: 0.038454
Test 17, loss: 3.435648, test acc: 0.040498, test avg acc: 0.040498
Train 18, loss: 3.437534, train acc: 0.040749, train avg acc: 0.040749
Test 18, loss: 3.437234, test acc: 0.042056, test avg acc: 0.042056
Train 19, loss: 3.438733, train acc: 0.039464, train avg acc: 0.039464
Test 19, loss: 3.432223, test acc: 0.041667, test avg acc: 0.041667
Train 20, loss: 3.437196, train acc: 0.040015, train avg acc: 0.040015
Test 20, loss: 3.433820, test acc: 0.041667, test avg acc: 0.041667
Train 21, loss: 3.437181, train acc: 0.040565, train avg acc: 0.040565
Test 21, loss: 3.431191, test acc: 0.040109, test avg acc: 0.040109
Train 22, loss: 3.435294, train acc: 0.042034, train avg acc: 0.042034
Test 22, loss: 3.434397, test acc: 0.040498, test avg acc: 0.040498
Train 23, loss: 3.435520, train acc: 0.042952, train avg acc: 0.042952
Test 23, loss: 3.438439, test acc: 0.042445, test avg acc: 0.042445
