Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=50, eval=False, exp_name='variation-32', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=32)
Using GPU : 0 from 1 devices
Train 0, loss: 3.707237, train acc: 0.043895, train avg acc: 0.043885
Test 0, loss: 3.470920, test acc: 0.037319, test avg acc: 0.037319
Train 1, loss: 3.485582, train acc: 0.043262, train avg acc: 0.043254
Test 1, loss: 3.430684, test acc: 0.060145, test avg acc: 0.060145
Train 2, loss: 3.449461, train acc: 0.050939, train avg acc: 0.050933
Test 2, loss: 3.406464, test acc: 0.077899, test avg acc: 0.077899
Train 3, loss: 3.432137, train acc: 0.057533, train avg acc: 0.057484
Test 3, loss: 3.394842, test acc: 0.080797, test avg acc: 0.080797
Train 4, loss: 3.417183, train acc: 0.059429, train avg acc: 0.059419
Test 4, loss: 3.388120, test acc: 0.056522, test avg acc: 0.056522
Train 5, loss: 3.405206, train acc: 0.064939, train avg acc: 0.064953
Test 5, loss: 3.381285, test acc: 0.060870, test avg acc: 0.060870
Train 6, loss: 3.399607, train acc: 0.065480, train avg acc: 0.065502
Test 6, loss: 3.388072, test acc: 0.073913, test avg acc: 0.073913
Train 7, loss: 3.396223, train acc: 0.064487, train avg acc: 0.064451
Test 7, loss: 3.366170, test acc: 0.111232, test avg acc: 0.111232
Train 8, loss: 3.386996, train acc: 0.068913, train avg acc: 0.068847
Test 8, loss: 3.375865, test acc: 0.070652, test avg acc: 0.070652
Train 9, loss: 3.386625, train acc: 0.070087, train avg acc: 0.070185
Test 9, loss: 3.359229, test acc: 0.102174, test avg acc: 0.102174
Train 10, loss: 3.380343, train acc: 0.074874, train avg acc: 0.074903
Test 10, loss: 3.360268, test acc: 0.126449, test avg acc: 0.126449
Train 11, loss: 3.376684, train acc: 0.070719, train avg acc: 0.070780
Test 11, loss: 3.355533, test acc: 0.106522, test avg acc: 0.106522
Train 12, loss: 3.372256, train acc: 0.072616, train avg acc: 0.072574
Test 12, loss: 3.355192, test acc: 0.105797, test avg acc: 0.105797
Train 13, loss: 3.371797, train acc: 0.074874, train avg acc: 0.074815
Test 13, loss: 3.358292, test acc: 0.106159, test avg acc: 0.106159
Train 14, loss: 3.365433, train acc: 0.077854, train avg acc: 0.077904
Test 14, loss: 3.347930, test acc: 0.100000, test avg acc: 0.100000
Train 15, loss: 3.364331, train acc: 0.078486, train avg acc: 0.078565
Test 15, loss: 3.353764, test acc: 0.130072, test avg acc: 0.130072
Train 16, loss: 3.367381, train acc: 0.075145, train avg acc: 0.075228
Test 16, loss: 3.347645, test acc: 0.109783, test avg acc: 0.109783
Train 17, loss: 3.358520, train acc: 0.082641, train avg acc: 0.082718
Test 17, loss: 3.346981, test acc: 0.103986, test avg acc: 0.103986
Train 18, loss: 3.358707, train acc: 0.080383, train avg acc: 0.080435
Test 18, loss: 3.344335, test acc: 0.121377, test avg acc: 0.121377
Train 19, loss: 3.357433, train acc: 0.081918, train avg acc: 0.081840
Test 19, loss: 3.336559, test acc: 0.126087, test avg acc: 0.126087
Train 20, loss: 3.359015, train acc: 0.077222, train avg acc: 0.077249
Test 20, loss: 3.347367, test acc: 0.109420, test avg acc: 0.109420
Train 21, loss: 3.350918, train acc: 0.083092, train avg acc: 0.083075
Test 21, loss: 3.344802, test acc: 0.129710, test avg acc: 0.129710
Train 22, loss: 3.348020, train acc: 0.088873, train avg acc: 0.088785
Test 22, loss: 3.345531, test acc: 0.109058, test avg acc: 0.109058
Train 23, loss: 3.350974, train acc: 0.083634, train avg acc: 0.083648
Test 23, loss: 3.349968, test acc: 0.115942, test avg acc: 0.115942
Train 24, loss: 3.347934, train acc: 0.083544, train avg acc: 0.083681
Test 24, loss: 3.345628, test acc: 0.141304, test avg acc: 0.141304
Train 25, loss: 3.353667, train acc: 0.081376, train avg acc: 0.081304
Test 25, loss: 3.347999, test acc: 0.152174, test avg acc: 0.152174
Train 26, loss: 3.345607, train acc: 0.083363, train avg acc: 0.083398
Test 26, loss: 3.344906, test acc: 0.126087, test avg acc: 0.126087
Train 27, loss: 3.348183, train acc: 0.085079, train avg acc: 0.085138
Test 27, loss: 3.340458, test acc: 0.128623, test avg acc: 0.128623
Train 28, loss: 3.345416, train acc: 0.084628, train avg acc: 0.084644
Test 28, loss: 3.349918, test acc: 0.121014, test avg acc: 0.121014
Train 29, loss: 3.340241, train acc: 0.086976, train avg acc: 0.087004
Test 29, loss: 3.338993, test acc: 0.160507, test avg acc: 0.160507
Train 30, loss: 3.335811, train acc: 0.086163, train avg acc: 0.086018
Test 30, loss: 3.343033, test acc: 0.127536, test avg acc: 0.127536
Train 31, loss: 3.345314, train acc: 0.085350, train avg acc: 0.085386
Test 31, loss: 3.339437, test acc: 0.111957, test avg acc: 0.111957
Train 32, loss: 3.337749, train acc: 0.088241, train avg acc: 0.088210
Test 32, loss: 3.334975, test acc: 0.135145, test avg acc: 0.135145
Train 33, loss: 3.330350, train acc: 0.090047, train avg acc: 0.090069
Test 33, loss: 3.326430, test acc: 0.164130, test avg acc: 0.164130
Train 34, loss: 3.324992, train acc: 0.090047, train avg acc: 0.090083
Test 34, loss: 3.319046, test acc: 0.126812, test avg acc: 0.126812
Train 35, loss: 3.308532, train acc: 0.098356, train avg acc: 0.098403
Test 35, loss: 3.318554, test acc: 0.093116, test avg acc: 0.093116
