Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=1048, epochs=50, eval=False, exp_name='variation-27', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=27)
Using GPU : 0 from 1 devices
Train 0, loss: 3.882130, train acc: 0.043851, train avg acc: 0.043811
Test 0, loss: 3.578378, test acc: 0.046296, test avg acc: 0.046296
Train 1, loss: 3.694534, train acc: 0.041331, train avg acc: 0.041320
Test 1, loss: 3.493492, test acc: 0.045139, test avg acc: 0.045139
Train 2, loss: 3.553369, train acc: 0.038054, train avg acc: 0.038040
Test 2, loss: 3.461619, test acc: 0.035880, test avg acc: 0.035880
Train 3, loss: 3.502349, train acc: 0.039567, train avg acc: 0.039613
Test 3, loss: 3.445717, test acc: 0.048611, test avg acc: 0.048611
Train 4, loss: 3.485891, train acc: 0.045363, train avg acc: 0.045498
Test 4, loss: 3.454042, test acc: 0.041667, test avg acc: 0.041667
Train 5, loss: 3.466219, train acc: 0.046623, train avg acc: 0.046541
Test 5, loss: 3.432467, test acc: 0.053241, test avg acc: 0.053241
Train 6, loss: 3.448006, train acc: 0.050151, train avg acc: 0.050216
Test 6, loss: 3.426508, test acc: 0.043981, test avg acc: 0.043981
Train 7, loss: 3.447024, train acc: 0.053931, train avg acc: 0.053761
Test 7, loss: 3.412139, test acc: 0.074074, test avg acc: 0.074074
Train 8, loss: 3.435505, train acc: 0.049647, train avg acc: 0.049698
Test 8, loss: 3.406130, test acc: 0.054398, test avg acc: 0.054398
Train 9, loss: 3.436224, train acc: 0.051915, train avg acc: 0.051856
Test 9, loss: 3.404630, test acc: 0.067130, test avg acc: 0.067130
Train 10, loss: 3.422197, train acc: 0.059980, train avg acc: 0.060084
Test 10, loss: 3.382994, test acc: 0.089120, test avg acc: 0.089120
Train 11, loss: 3.420516, train acc: 0.063256, train avg acc: 0.063399
Test 11, loss: 3.394100, test acc: 0.059028, test avg acc: 0.059028
Train 12, loss: 3.409019, train acc: 0.064768, train avg acc: 0.064796
Test 12, loss: 3.387774, test acc: 0.060185, test avg acc: 0.060185
Train 13, loss: 3.413101, train acc: 0.063004, train avg acc: 0.063005
Test 13, loss: 3.397424, test acc: 0.052083, test avg acc: 0.052083
Train 14, loss: 3.410015, train acc: 0.065020, train avg acc: 0.065061
Test 14, loss: 3.392389, test acc: 0.056713, test avg acc: 0.056713
Train 15, loss: 3.403665, train acc: 0.062752, train avg acc: 0.062841
Test 15, loss: 3.375735, test acc: 0.082176, test avg acc: 0.082176
Train 16, loss: 3.396887, train acc: 0.070312, train avg acc: 0.070385
Test 16, loss: 3.370484, test acc: 0.098380, test avg acc: 0.098380
Train 17, loss: 3.397096, train acc: 0.067540, train avg acc: 0.067657
Test 17, loss: 3.371322, test acc: 0.094907, test avg acc: 0.094907
Train 18, loss: 3.396801, train acc: 0.061996, train avg acc: 0.062038
Test 18, loss: 3.368299, test acc: 0.111111, test avg acc: 0.111111
Train 19, loss: 3.386342, train acc: 0.076361, train avg acc: 0.076407
Test 19, loss: 3.363624, test acc: 0.093750, test avg acc: 0.093750
Train 20, loss: 3.381814, train acc: 0.073589, train avg acc: 0.073513
Test 20, loss: 3.359766, test acc: 0.091435, test avg acc: 0.091435
Train 21, loss: 3.385097, train acc: 0.073841, train avg acc: 0.073920
Test 21, loss: 3.360391, test acc: 0.121528, test avg acc: 0.121528
Train 22, loss: 3.384053, train acc: 0.075605, train avg acc: 0.075616
Test 22, loss: 3.361024, test acc: 0.141204, test avg acc: 0.141204
Train 23, loss: 3.383777, train acc: 0.077369, train avg acc: 0.077573
Test 23, loss: 3.360323, test acc: 0.101852, test avg acc: 0.101852
Train 24, loss: 3.386865, train acc: 0.073841, train avg acc: 0.074154
Test 24, loss: 3.360236, test acc: 0.108796, test avg acc: 0.108796
Train 25, loss: 3.384577, train acc: 0.074093, train avg acc: 0.074213
Test 25, loss: 3.368904, test acc: 0.094907, test avg acc: 0.094907
Train 26, loss: 3.379987, train acc: 0.076865, train avg acc: 0.076863
Test 26, loss: 3.360117, test acc: 0.126157, test avg acc: 0.126157
Train 27, loss: 3.371154, train acc: 0.077117, train avg acc: 0.077017
Test 27, loss: 3.348945, test acc: 0.148148, test avg acc: 0.148148
Train 28, loss: 3.376534, train acc: 0.077117, train avg acc: 0.077318
Test 28, loss: 3.353907, test acc: 0.118056, test avg acc: 0.118056
Train 29, loss: 3.373042, train acc: 0.074597, train avg acc: 0.074871
Test 29, loss: 3.353744, test acc: 0.140046, test avg acc: 0.140046
Train 30, loss: 3.364805, train acc: 0.079133, train avg acc: 0.078974
Test 30, loss: 3.347741, test acc: 0.149306, test avg acc: 0.149306
Train 31, loss: 3.374052, train acc: 0.073841, train avg acc: 0.073941
Test 31, loss: 3.347545, test acc: 0.150463, test avg acc: 0.150463
Train 32, loss: 3.371987, train acc: 0.076109, train avg acc: 0.076073
Test 32, loss: 3.356465, test acc: 0.108796, test avg acc: 0.108796
Train 33, loss: 3.366751, train acc: 0.076865, train avg acc: 0.076903
Test 33, loss: 3.353136, test acc: 0.127315, test avg acc: 0.127315
Train 34, loss: 3.365503, train acc: 0.085181, train avg acc: 0.084894
Test 34, loss: 3.349312, test acc: 0.120370, test avg acc: 0.120370
Train 35, loss: 3.363451, train acc: 0.086190, train avg acc: 0.085994
Test 35, loss: 3.343090, test acc: 0.151620, test avg acc: 0.151620
Train 36, loss: 3.364218, train acc: 0.076361, train avg acc: 0.076382
Test 36, loss: 3.342142, test acc: 0.143519, test avg acc: 0.143519
Train 37, loss: 3.360008, train acc: 0.089466, train avg acc: 0.089427
Test 37, loss: 3.349841, test acc: 0.143519, test avg acc: 0.143519
Train 38, loss: 3.361618, train acc: 0.082661, train avg acc: 0.082587
Test 38, loss: 3.346820, test acc: 0.138889, test avg acc: 0.138889
Train 39, loss: 3.357987, train acc: 0.083921, train avg acc: 0.084289
Test 39, loss: 3.339492, test acc: 0.151620, test avg acc: 0.151620
Train 40, loss: 3.362735, train acc: 0.080141, train avg acc: 0.080360
Test 40, loss: 3.343042, test acc: 0.153935, test avg acc: 0.153935
Train 41, loss: 3.350208, train acc: 0.092238, train avg acc: 0.092336
Test 41, loss: 3.340686, test acc: 0.148148, test avg acc: 0.148148
Train 42, loss: 3.353483, train acc: 0.080897, train avg acc: 0.080767
Test 42, loss: 3.343034, test acc: 0.138889, test avg acc: 0.138889
Train 43, loss: 3.356149, train acc: 0.080141, train avg acc: 0.080410
Test 43, loss: 3.339826, test acc: 0.142361, test avg acc: 0.142361
Train 44, loss: 3.358825, train acc: 0.084677, train avg acc: 0.084679
Test 44, loss: 3.340705, test acc: 0.141204, test avg acc: 0.141204
Train 45, loss: 3.355539, train acc: 0.083921, train avg acc: 0.084025
Test 45, loss: 3.341809, test acc: 0.145833, test avg acc: 0.145833
Train 46, loss: 3.350607, train acc: 0.088458, train avg acc: 0.088484
Test 46, loss: 3.341943, test acc: 0.142361, test avg acc: 0.142361
Train 47, loss: 3.352537, train acc: 0.089718, train avg acc: 0.090032
Test 47, loss: 3.337964, test acc: 0.142361, test avg acc: 0.142361
Train 48, loss: 3.351832, train acc: 0.085938, train avg acc: 0.085936
Test 48, loss: 3.339158, test acc: 0.146991, test avg acc: 0.146991
Train 49, loss: 3.351637, train acc: 0.089718, train avg acc: 0.089633
Test 49, loss: 3.338077, test acc: 0.151620, test avg acc: 0.151620
