Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=1048, epochs=50, eval=False, exp_name='variation-3', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=3)
Using GPU : 0 from 1 devices
Train 0, loss: 3.746509, train acc: 0.028846, train avg acc: 0.028612
Test 0, loss: 3.620122, test acc: 0.041667, test avg acc: 0.041667
Train 1, loss: 3.797880, train acc: 0.042067, train avg acc: 0.042379
Test 1, loss: 3.693318, test acc: 0.033333, test avg acc: 0.033333
Train 2, loss: 3.885642, train acc: 0.031250, train avg acc: 0.030768
Test 2, loss: 3.862114, test acc: 0.045833, test avg acc: 0.045833
Train 3, loss: 3.865903, train acc: 0.042067, train avg acc: 0.042356
Test 3, loss: 3.550501, test acc: 0.050000, test avg acc: 0.050000
Train 4, loss: 3.683784, train acc: 0.063702, train avg acc: 0.063231
Test 4, loss: 3.513812, test acc: 0.062500, test avg acc: 0.062500
Train 5, loss: 3.723367, train acc: 0.055288, train avg acc: 0.055377
Test 5, loss: 3.514991, test acc: 0.079167, test avg acc: 0.079167
Train 6, loss: 3.653322, train acc: 0.061298, train avg acc: 0.060875
Test 6, loss: 3.564326, test acc: 0.062500, test avg acc: 0.062500
Train 7, loss: 3.606804, train acc: 0.069712, train avg acc: 0.069599
Test 7, loss: 3.455574, test acc: 0.091667, test avg acc: 0.091667
Train 8, loss: 3.555284, train acc: 0.080529, train avg acc: 0.081018
Test 8, loss: 3.425077, test acc: 0.091667, test avg acc: 0.091667
Train 9, loss: 3.477743, train acc: 0.072115, train avg acc: 0.071444
Test 9, loss: 3.414558, test acc: 0.079167, test avg acc: 0.079167
Train 10, loss: 3.505241, train acc: 0.073317, train avg acc: 0.072991
Test 10, loss: 3.393445, test acc: 0.066667, test avg acc: 0.066667
Train 11, loss: 3.476027, train acc: 0.070913, train avg acc: 0.071359
Test 11, loss: 3.376245, test acc: 0.083333, test avg acc: 0.083333
Train 12, loss: 3.471851, train acc: 0.076923, train avg acc: 0.076710
Test 12, loss: 3.367871, test acc: 0.120833, test avg acc: 0.120833
Train 13, loss: 3.466789, train acc: 0.078125, train avg acc: 0.079194
Test 13, loss: 3.373327, test acc: 0.116667, test avg acc: 0.116667
Train 14, loss: 3.447143, train acc: 0.073317, train avg acc: 0.072976
Test 14, loss: 3.368029, test acc: 0.079167, test avg acc: 0.079167
Train 15, loss: 3.460083, train acc: 0.068510, train avg acc: 0.068590
Test 15, loss: 3.390243, test acc: 0.095833, test avg acc: 0.095833
Train 16, loss: 3.457066, train acc: 0.068510, train avg acc: 0.067362
Test 16, loss: 3.388085, test acc: 0.100000, test avg acc: 0.100000
Train 17, loss: 3.427723, train acc: 0.069712, train avg acc: 0.069882
Test 17, loss: 3.391386, test acc: 0.066667, test avg acc: 0.066667
Train 18, loss: 3.430878, train acc: 0.078125, train avg acc: 0.077226
Test 18, loss: 3.366155, test acc: 0.112500, test avg acc: 0.112500
Train 19, loss: 3.394745, train acc: 0.066106, train avg acc: 0.065733
Test 19, loss: 3.376022, test acc: 0.075000, test avg acc: 0.075000
Train 20, loss: 3.409378, train acc: 0.080529, train avg acc: 0.081144
Test 20, loss: 3.367688, test acc: 0.129167, test avg acc: 0.129167
Train 21, loss: 3.413254, train acc: 0.078125, train avg acc: 0.078149
