Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=50, eval=False, exp_name='variation-4', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=4)
Using GPU : 0 from 1 devices
Train 0, loss: 3.749005, train acc: 0.035156, train avg acc: 0.035056
Test 0, loss: 3.567920, test acc: 0.041667, test avg acc: 0.041667
Train 1, loss: 3.808458, train acc: 0.037760, train avg acc: 0.038644
Test 1, loss: 3.737897, test acc: 0.052083, test avg acc: 0.052083
Train 2, loss: 3.875969, train acc: 0.045573, train avg acc: 0.045388
Test 2, loss: 3.702713, test acc: 0.057292, test avg acc: 0.057292
Train 3, loss: 3.839002, train acc: 0.037760, train avg acc: 0.038067
Test 3, loss: 3.768530, test acc: 0.046875, test avg acc: 0.046875
Train 4, loss: 3.783135, train acc: 0.057292, train avg acc: 0.057377
Test 4, loss: 3.549569, test acc: 0.067708, test avg acc: 0.067708
Train 5, loss: 3.642179, train acc: 0.061198, train avg acc: 0.060638
Test 5, loss: 3.497747, test acc: 0.088542, test avg acc: 0.088542
Train 6, loss: 3.609439, train acc: 0.052083, train avg acc: 0.051599
Test 6, loss: 3.427997, test acc: 0.098958, test avg acc: 0.098958
Train 7, loss: 3.609195, train acc: 0.050781, train avg acc: 0.051070
Test 7, loss: 3.438258, test acc: 0.041667, test avg acc: 0.041667
Train 8, loss: 3.588497, train acc: 0.048177, train avg acc: 0.048000
Test 8, loss: 3.409638, test acc: 0.156250, test avg acc: 0.156250
Train 9, loss: 3.552163, train acc: 0.065104, train avg acc: 0.065103
Test 9, loss: 3.415704, test acc: 0.109375, test avg acc: 0.109375
Train 10, loss: 3.520337, train acc: 0.066406, train avg acc: 0.066640
Test 10, loss: 3.416016, test acc: 0.104167, test avg acc: 0.104167
Train 11, loss: 3.514231, train acc: 0.075521, train avg acc: 0.075520
Test 11, loss: 3.430828, test acc: 0.067708, test avg acc: 0.067708
Train 12, loss: 3.503957, train acc: 0.070312, train avg acc: 0.070574
Test 12, loss: 3.397640, test acc: 0.130208, test avg acc: 0.130208
Train 13, loss: 3.474952, train acc: 0.079427, train avg acc: 0.078580
Test 13, loss: 3.433627, test acc: 0.098958, test avg acc: 0.098958
Train 14, loss: 3.471439, train acc: 0.066406, train avg acc: 0.067775
Test 14, loss: 3.368524, test acc: 0.114583, test avg acc: 0.114583
Train 15, loss: 3.434504, train acc: 0.067708, train avg acc: 0.066887
Test 15, loss: 3.397616, test acc: 0.088542, test avg acc: 0.088542
Train 16, loss: 3.470131, train acc: 0.062500, train avg acc: 0.062998
Test 16, loss: 3.381454, test acc: 0.135417, test avg acc: 0.135417
Train 17, loss: 3.407147, train acc: 0.084635, train avg acc: 0.084051
Test 17, loss: 3.381062, test acc: 0.078125, test avg acc: 0.078125
Train 18, loss: 3.427130, train acc: 0.078125, train avg acc: 0.077961
Test 18, loss: 3.363091, test acc: 0.093750, test avg acc: 0.093750
Train 19, loss: 3.413544, train acc: 0.079427, train avg acc: 0.080129
Test 19, loss: 3.364408, test acc: 0.098958, test avg acc: 0.098958
Train 20, loss: 3.442606, train acc: 0.067708, train avg acc: 0.067482
Test 20, loss: 3.365797, test acc: 0.098958, test avg acc: 0.098958
Train 21, loss: 3.421908, train acc: 0.080729, train avg acc: 0.080215
Test 21, loss: 3.389701, test acc: 0.104167, test avg acc: 0.104167
Train 22, loss: 3.416324, train acc: 0.074219, train avg acc: 0.073537
Test 22, loss: 3.380593, test acc: 0.109375, test avg acc: 0.109375
Train 23, loss: 3.441010, train acc: 0.062500, train avg acc: 0.062247
Test 23, loss: 3.408262, test acc: 0.093750, test avg acc: 0.093750
Train 24, loss: 3.403188, train acc: 0.078125, train avg acc: 0.077854
Test 24, loss: 3.385836, test acc: 0.130208, test avg acc: 0.130208
Train 25, loss: 3.422089, train acc: 0.078125, train avg acc: 0.077577
Test 25, loss: 3.377575, test acc: 0.093750, test avg acc: 0.093750
Train 26, loss: 3.380284, train acc: 0.093750, train avg acc: 0.093495
Test 26, loss: 3.364141, test acc: 0.098958, test avg acc: 0.098958
Train 27, loss: 3.417864, train acc: 0.072917, train avg acc: 0.072085
Test 27, loss: 3.366155, test acc: 0.093750, test avg acc: 0.093750
Train 28, loss: 3.392112, train acc: 0.079427, train avg acc: 0.079683
Test 28, loss: 3.374870, test acc: 0.083333, test avg acc: 0.083333
Train 29, loss: 3.391273, train acc: 0.087240, train avg acc: 0.086800
Test 29, loss: 3.371319, test acc: 0.114583, test avg acc: 0.114583
Train 30, loss: 3.364606, train acc: 0.097656, train avg acc: 0.097603
Test 30, loss: 3.370362, test acc: 0.098958, test avg acc: 0.098958
Train 31, loss: 3.375827, train acc: 0.088542, train avg acc: 0.088065
Test 31, loss: 3.363502, test acc: 0.130208, test avg acc: 0.130208
Train 32, loss: 3.386559, train acc: 0.075521, train avg acc: 0.075409
Test 32, loss: 3.358844, test acc: 0.135417, test avg acc: 0.135417
Train 33, loss: 3.397923, train acc: 0.080729, train avg acc: 0.080442
Test 33, loss: 3.362560, test acc: 0.114583, test avg acc: 0.114583
Train 34, loss: 3.374742, train acc: 0.085938, train avg acc: 0.085119
Test 34, loss: 3.377120, test acc: 0.067708, test avg acc: 0.067708
Train 35, loss: 3.356507, train acc: 0.096354, train avg acc: 0.095627
Test 35, loss: 3.357714, test acc: 0.104167, test avg acc: 0.104167
Train 36, loss: 3.372602, train acc: 0.091146, train avg acc: 0.092493
Test 36, loss: 3.360385, test acc: 0.119792, test avg acc: 0.119792
Train 37, loss: 3.348809, train acc: 0.088542, train avg acc: 0.088446
Test 37, loss: 3.357255, test acc: 0.093750, test avg acc: 0.093750
Train 38, loss: 3.348185, train acc: 0.091146, train avg acc: 0.091612
Test 38, loss: 3.344086, test acc: 0.104167, test avg acc: 0.104167
Train 39, loss: 3.344127, train acc: 0.087240, train avg acc: 0.086224
