Namespace(batch_size=16, dataset='modelnet40', dropout=0.5, emb_dims=1048, epochs=50, eval=False, exp_name='variation-13', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=13)
Using GPU : 0 from 1 devices
Train 0, loss: 3.642044, train acc: 0.040687, train avg acc: 0.040694
Test 0, loss: 3.446967, test acc: 0.040278, test avg acc: 0.040278
Train 1, loss: 3.465533, train acc: 0.040122, train avg acc: 0.040125
Test 1, loss: 3.448666, test acc: 0.040741, test avg acc: 0.040741
Train 2, loss: 3.454622, train acc: 0.037071, train avg acc: 0.037073
Test 2, loss: 3.455156, test acc: 0.039352, test avg acc: 0.039352
Train 3, loss: 3.452954, train acc: 0.040009, train avg acc: 0.040003
Test 3, loss: 3.443096, test acc: 0.043519, test avg acc: 0.043519
Train 4, loss: 3.449580, train acc: 0.042156, train avg acc: 0.042156
Test 4, loss: 3.447143, test acc: 0.041667, test avg acc: 0.041667
Train 5, loss: 3.449153, train acc: 0.041026, train avg acc: 0.041021
Test 5, loss: 3.447041, test acc: 0.041667, test avg acc: 0.041667
Train 6, loss: 3.447089, train acc: 0.041591, train avg acc: 0.041593
Test 6, loss: 3.435756, test acc: 0.041667, test avg acc: 0.041667
Train 7, loss: 3.442773, train acc: 0.043739, train avg acc: 0.043741
Test 7, loss: 3.445719, test acc: 0.046296, test avg acc: 0.046296
Train 8, loss: 3.440013, train acc: 0.050746, train avg acc: 0.050746
Test 8, loss: 3.438136, test acc: 0.052315, test avg acc: 0.052315
Train 9, loss: 3.431993, train acc: 0.054024, train avg acc: 0.054038
Test 9, loss: 3.425101, test acc: 0.046296, test avg acc: 0.046296
Train 10, loss: 3.431437, train acc: 0.058318, train avg acc: 0.058298
Test 10, loss: 3.411538, test acc: 0.053704, test avg acc: 0.053704
Train 11, loss: 3.426561, train acc: 0.056397, train avg acc: 0.056412
Test 11, loss: 3.423317, test acc: 0.052315, test avg acc: 0.052315
Train 12, loss: 3.416880, train acc: 0.060353, train avg acc: 0.060409
Test 12, loss: 3.397186, test acc: 0.068056, test avg acc: 0.068056
Train 13, loss: 3.415587, train acc: 0.058318, train avg acc: 0.058311
Test 13, loss: 3.392006, test acc: 0.063426, test avg acc: 0.063426
Train 14, loss: 3.413691, train acc: 0.061257, train avg acc: 0.061225
Test 14, loss: 3.373936, test acc: 0.097685, test avg acc: 0.097685
Train 15, loss: 3.415173, train acc: 0.060918, train avg acc: 0.060919
Test 15, loss: 3.385678, test acc: 0.068056, test avg acc: 0.068056
Train 16, loss: 3.411426, train acc: 0.062500, train avg acc: 0.062514
Test 16, loss: 3.370262, test acc: 0.111574, test avg acc: 0.111574
Train 17, loss: 3.409652, train acc: 0.064308, train avg acc: 0.064314
Test 17, loss: 3.373407, test acc: 0.075463, test avg acc: 0.075463
Train 18, loss: 3.404821, train acc: 0.061596, train avg acc: 0.061592
Test 18, loss: 3.379719, test acc: 0.073611, test avg acc: 0.073611
Train 19, loss: 3.404864, train acc: 0.063856, train avg acc: 0.063850
Test 19, loss: 3.378645, test acc: 0.086574, test avg acc: 0.086574
Train 20, loss: 3.402182, train acc: 0.064421, train avg acc: 0.064429
Test 20, loss: 3.380723, test acc: 0.066667, test avg acc: 0.066667
Train 21, loss: 3.403676, train acc: 0.067473, train avg acc: 0.067470
Test 21, loss: 3.384248, test acc: 0.075000, test avg acc: 0.075000
Train 22, loss: 3.396512, train acc: 0.069055, train avg acc: 0.069066
Test 22, loss: 3.361465, test acc: 0.078241, test avg acc: 0.078241
Train 23, loss: 3.400575, train acc: 0.064873, train avg acc: 0.064901
Test 23, loss: 3.380866, test acc: 0.091667, test avg acc: 0.091667
Train 24, loss: 3.395131, train acc: 0.070411, train avg acc: 0.070455
Test 24, loss: 3.382777, test acc: 0.078704, test avg acc: 0.078704
Train 25, loss: 3.390630, train acc: 0.068716, train avg acc: 0.068724
Test 25, loss: 3.378223, test acc: 0.051389, test avg acc: 0.051389
Train 26, loss: 3.391339, train acc: 0.073011, train avg acc: 0.073024
Test 26, loss: 3.378720, test acc: 0.074074, test avg acc: 0.074074
Train 27, loss: 3.383617, train acc: 0.072898, train avg acc: 0.072853
Test 27, loss: 3.354670, test acc: 0.100463, test avg acc: 0.100463
Train 28, loss: 3.389772, train acc: 0.071316, train avg acc: 0.071270
Test 28, loss: 3.361267, test acc: 0.081019, test avg acc: 0.081019
Train 29, loss: 3.383171, train acc: 0.078323, train avg acc: 0.078326
Test 29, loss: 3.353121, test acc: 0.110648, test avg acc: 0.110648
Train 30, loss: 3.383035, train acc: 0.070976, train avg acc: 0.071025
