Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=100, eval=False, exp_name='variation-35', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=35)
Using GPU : 0 from 1 devices
Namespace(batch_size=64, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=100, eval=False, exp_name='variation-35', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=35)
Using GPU : 0 from 1 devices
Train 40, loss: 1.209475, train acc: 0.993454, train avg acc: 0.944944
Test 40, loss: 1.155967, test acc: 0.996989, test avg acc: 0.952756
Train 41, loss: 1.206434, train acc: 0.994651, train avg acc: 0.947611
Test 41, loss: 1.149338, test acc: 0.998996, test avg acc: 0.956111
Train 42, loss: 1.203824, train acc: 0.995038, train avg acc: 0.947623
Test 42, loss: 1.147155, test acc: 0.999140, test avg acc: 0.957649
Train 43, loss: 1.203538, train acc: 0.994932, train avg acc: 0.946654
Test 43, loss: 1.167360, test acc: 0.998566, test avg acc: 0.956841
Train 44, loss: 1.210495, train acc: 0.993595, train avg acc: 0.946221
Test 44, loss: 1.152684, test acc: 0.999570, test avg acc: 0.957862
Train 45, loss: 1.202997, train acc: 0.995038, train avg acc: 0.948367
Test 45, loss: 1.148901, test acc: 0.997849, test avg acc: 0.955194
Train 46, loss: 1.196326, train acc: 0.995742, train avg acc: 0.949669
Test 46, loss: 1.162088, test acc: 0.994122, test avg acc: 0.944645
Train 47, loss: 1.196881, train acc: 0.995601, train avg acc: 0.948904
Test 47, loss: 1.164588, test acc: 0.992258, test avg acc: 0.941517
Train 48, loss: 1.195286, train acc: 0.995953, train avg acc: 0.949707
Test 48, loss: 1.159451, test acc: 0.998423, test avg acc: 0.955420
Train 49, loss: 1.198683, train acc: 0.995320, train avg acc: 0.950342
Test 49, loss: 1.171909, test acc: 0.999283, test avg acc: 0.957565
Train 50, loss: 1.193019, train acc: 0.996974, train avg acc: 0.951990
Test 50, loss: 1.145464, test acc: 0.998280, test avg acc: 0.956373
Train 51, loss: 1.192239, train acc: 0.996798, train avg acc: 0.951933
Test 51, loss: 1.149895, test acc: 0.998423, test avg acc: 0.955484
Train 52, loss: 1.191023, train acc: 0.996762, train avg acc: 0.951882
Test 52, loss: 1.151393, test acc: 0.998996, test avg acc: 0.956319
Train 53, loss: 1.186753, train acc: 0.997396, train avg acc: 0.953646
Test 53, loss: 1.141582, test acc: 0.999427, test avg acc: 0.957676
Train 54, loss: 1.190938, train acc: 0.996235, train avg acc: 0.951274
Test 54, loss: 1.149179, test acc: 0.996559, test avg acc: 0.950639
Train 55, loss: 1.188786, train acc: 0.996375, train avg acc: 0.951557
Test 55, loss: 1.149822, test acc: 0.999140, test avg acc: 0.956877
Train 56, loss: 1.184030, train acc: 0.997607, train avg acc: 0.954619
Test 56, loss: 1.142701, test acc: 0.999283, test avg acc: 0.957422
Train 57, loss: 1.185092, train acc: 0.996868, train avg acc: 0.952279
Test 57, loss: 1.139946, test acc: 0.999427, test avg acc: 0.957675
Train 58, loss: 1.181740, train acc: 0.997713, train avg acc: 0.953814
Test 58, loss: 1.153275, test acc: 0.998280, test avg acc: 0.955539
Train 59, loss: 1.180391, train acc: 0.997642, train avg acc: 0.954330
Test 59, loss: 1.143293, test acc: 0.999140, test avg acc: 0.956640
Train 60, loss: 1.181469, train acc: 0.997818, train avg acc: 0.954440
Test 60, loss: 1.138779, test acc: 0.999283, test avg acc: 0.957498
Train 61, loss: 1.181177, train acc: 0.997607, train avg acc: 0.954361
Test 61, loss: 1.144658, test acc: 0.998853, test avg acc: 0.956660
Train 62, loss: 1.180641, train acc: 0.997853, train avg acc: 0.955019
Test 62, loss: 1.138453, test acc: 0.999857, test avg acc: 0.958333
Train 63, loss: 1.177619, train acc: 0.998205, train avg acc: 0.956380
Test 63, loss: 1.142396, test acc: 0.998136, test avg acc: 0.955389
Train 64, loss: 1.176792, train acc: 0.997994, train avg acc: 0.955114
Test 64, loss: 1.137108, test acc: 0.999427, test avg acc: 0.957648
Train 65, loss: 1.175422, train acc: 0.998663, train avg acc: 0.956692
Test 65, loss: 1.137487, test acc: 0.999857, test avg acc: 0.958333
Train 66, loss: 1.176029, train acc: 0.998064, train avg acc: 0.955761
Test 66, loss: 1.134673, test acc: 0.999713, test avg acc: 0.958079
Train 67, loss: 1.174743, train acc: 0.998487, train avg acc: 0.956746
Test 67, loss: 1.135703, test acc: 0.999713, test avg acc: 0.958079
Train 68, loss: 1.173412, train acc: 0.998205, train avg acc: 0.955629
Test 68, loss: 1.137306, test acc: 0.999283, test avg acc: 0.957027
Train 69, loss: 1.172224, train acc: 0.998628, train avg acc: 0.956896
Test 69, loss: 1.136552, test acc: 0.999283, test avg acc: 0.957421
Train 70, loss: 1.172228, train acc: 0.998416, train avg acc: 0.956425
Test 70, loss: 1.137001, test acc: 0.999713, test avg acc: 0.958079
Train 71, loss: 1.171165, train acc: 0.998874, train avg acc: 0.957288
Test 71, loss: 1.133543, test acc: 0.999713, test avg acc: 0.957948
Train 72, loss: 1.170969, train acc: 0.998663, train avg acc: 0.956996
Test 72, loss: 1.134289, test acc: 0.999570, test avg acc: 0.957798
Train 73, loss: 1.169808, train acc: 0.998874, train avg acc: 0.956964
Test 73, loss: 1.139131, test acc: 0.997706, test avg acc: 0.952782
