Namespace(batch_size=16, dataset='modelnet40', dropout=0.5, emb_dims=1048, epochs=50, eval=False, exp_name='variation-17', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=17)
Using GPU : 0 from 1 devices
Train 0, loss: 4.503864, train acc: 0.028571, train avg acc: 0.028562
Test 0, loss: 3.763285, test acc: 0.044872, test avg acc: 0.044872
Train 1, loss: 3.676509, train acc: 0.031250, train avg acc: 0.031317
Test 1, loss: 3.486173, test acc: 0.044872, test avg acc: 0.044872
Train 2, loss: 3.540187, train acc: 0.046429, train avg acc: 0.046369
Test 2, loss: 3.460289, test acc: 0.048077, test avg acc: 0.048077
Train 3, loss: 3.526229, train acc: 0.041964, train avg acc: 0.042017
Test 3, loss: 3.470064, test acc: 0.032051, test avg acc: 0.032051
Train 4, loss: 3.499404, train acc: 0.034821, train avg acc: 0.034748
Test 4, loss: 3.441704, test acc: 0.057692, test avg acc: 0.057692
Train 5, loss: 3.468857, train acc: 0.048214, train avg acc: 0.048106
Test 5, loss: 3.453257, test acc: 0.041667, test avg acc: 0.041667
Train 6, loss: 3.474904, train acc: 0.042857, train avg acc: 0.042689
Test 6, loss: 3.423079, test acc: 0.041667, test avg acc: 0.041667
Train 7, loss: 3.456502, train acc: 0.048214, train avg acc: 0.047949
Test 7, loss: 3.421994, test acc: 0.067308, test avg acc: 0.067308
Train 8, loss: 3.450034, train acc: 0.056250, train avg acc: 0.056261
Test 8, loss: 3.415232, test acc: 0.051282, test avg acc: 0.051282
Train 9, loss: 3.452534, train acc: 0.044643, train avg acc: 0.044558
Test 9, loss: 3.417468, test acc: 0.080128, test avg acc: 0.080128
Train 10, loss: 3.426220, train acc: 0.050000, train avg acc: 0.049821
Test 10, loss: 3.409473, test acc: 0.057692, test avg acc: 0.057692
Train 11, loss: 3.437485, train acc: 0.047321, train avg acc: 0.047433
Test 11, loss: 3.407870, test acc: 0.108974, test avg acc: 0.108974
Train 12, loss: 3.426850, train acc: 0.071429, train avg acc: 0.071269
Test 12, loss: 3.381118, test acc: 0.070513, test avg acc: 0.070513
Train 13, loss: 3.426421, train acc: 0.057143, train avg acc: 0.057127
Test 13, loss: 3.388658, test acc: 0.064103, test avg acc: 0.064103
Train 14, loss: 3.421932, train acc: 0.061607, train avg acc: 0.061655
Test 14, loss: 3.396085, test acc: 0.080128, test avg acc: 0.080128
Train 15, loss: 3.419863, train acc: 0.051786, train avg acc: 0.051631
Test 15, loss: 3.397883, test acc: 0.076923, test avg acc: 0.076923
Train 16, loss: 3.418918, train acc: 0.058929, train avg acc: 0.058723
Test 16, loss: 3.397330, test acc: 0.092949, test avg acc: 0.092949
Train 17, loss: 3.415364, train acc: 0.057143, train avg acc: 0.057046
Test 17, loss: 3.391073, test acc: 0.080128, test avg acc: 0.080128
Train 18, loss: 3.407934, train acc: 0.069643, train avg acc: 0.070298
Test 18, loss: 3.377410, test acc: 0.099359, test avg acc: 0.099359
Train 19, loss: 3.400742, train acc: 0.066071, train avg acc: 0.065874
Test 19, loss: 3.394998, test acc: 0.070513, test avg acc: 0.070513
Train 20, loss: 3.412339, train acc: 0.053571, train avg acc: 0.053563
Test 20, loss: 3.385521, test acc: 0.092949, test avg acc: 0.092949
Train 21, loss: 3.408194, train acc: 0.064286, train avg acc: 0.064784
Test 21, loss: 3.383765, test acc: 0.067308, test avg acc: 0.067308
Train 22, loss: 3.403914, train acc: 0.061607, train avg acc: 0.061498
Test 22, loss: 3.378373, test acc: 0.108974, test avg acc: 0.108974
Train 23, loss: 3.409315, train acc: 0.049107, train avg acc: 0.048913
