Namespace(batch_size=16, dataset='modelnet40', dropout=0.5, emb_dims=1048, epochs=50, eval=False, exp_name='variation-9', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=9)
Using GPU : 0 from 1 devices
Train 0, loss: 3.926658, train acc: 0.042643, train avg acc: 0.042643
Test 0, loss: 3.483319, test acc: 0.040000, test avg acc: 0.040000
Train 1, loss: 3.506393, train acc: 0.047526, train avg acc: 0.047526
Test 1, loss: 3.527605, test acc: 0.035000, test avg acc: 0.035000
Train 2, loss: 3.486643, train acc: 0.041667, train avg acc: 0.041667
Test 2, loss: 3.449577, test acc: 0.040000, test avg acc: 0.040000
Train 3, loss: 3.471664, train acc: 0.037435, train avg acc: 0.037435
Test 3, loss: 3.446754, test acc: 0.033333, test avg acc: 0.033333
Train 4, loss: 3.464657, train acc: 0.039062, train avg acc: 0.039062
Test 4, loss: 3.450888, test acc: 0.041667, test avg acc: 0.041667
Train 5, loss: 3.461642, train acc: 0.038411, train avg acc: 0.038411
Test 5, loss: 3.437067, test acc: 0.066667, test avg acc: 0.066667
Train 6, loss: 3.457856, train acc: 0.046875, train avg acc: 0.046875
Test 6, loss: 3.446206, test acc: 0.048333, test avg acc: 0.048333
Train 7, loss: 3.456938, train acc: 0.041667, train avg acc: 0.041667
Test 7, loss: 3.444100, test acc: 0.053333, test avg acc: 0.053333
Train 8, loss: 3.453861, train acc: 0.040365, train avg acc: 0.040365
Test 8, loss: 3.430390, test acc: 0.070000, test avg acc: 0.070000
Train 9, loss: 3.445690, train acc: 0.044596, train avg acc: 0.044596
Test 9, loss: 3.430392, test acc: 0.043333, test avg acc: 0.043333
Train 10, loss: 3.446181, train acc: 0.046875, train avg acc: 0.046875
Test 10, loss: 3.436720, test acc: 0.050000, test avg acc: 0.050000
Train 11, loss: 3.445427, train acc: 0.037435, train avg acc: 0.037435
Test 11, loss: 3.413433, test acc: 0.053333, test avg acc: 0.053333
Train 12, loss: 3.435942, train acc: 0.045898, train avg acc: 0.045898
Test 12, loss: 3.430942, test acc: 0.058333, test avg acc: 0.058333
Train 13, loss: 3.434561, train acc: 0.054688, train avg acc: 0.054688
Test 13, loss: 3.418561, test acc: 0.056667, test avg acc: 0.056667
Train 14, loss: 3.432184, train acc: 0.051107, train avg acc: 0.051107
Test 14, loss: 3.418787, test acc: 0.055000, test avg acc: 0.055000
Train 15, loss: 3.430872, train acc: 0.055013, train avg acc: 0.055013
Test 15, loss: 3.422799, test acc: 0.048333, test avg acc: 0.048333
Train 16, loss: 3.428140, train acc: 0.056315, train avg acc: 0.056315
Test 16, loss: 3.415856, test acc: 0.056667, test avg acc: 0.056667
Train 17, loss: 3.427056, train acc: 0.055664, train avg acc: 0.055664
Test 17, loss: 3.413269, test acc: 0.058333, test avg acc: 0.058333
Train 18, loss: 3.427487, train acc: 0.050130, train avg acc: 0.050130
Test 18, loss: 3.410979, test acc: 0.045000, test avg acc: 0.045000
Train 19, loss: 3.430070, train acc: 0.051107, train avg acc: 0.051107
Test 19, loss: 3.410203, test acc: 0.053333, test avg acc: 0.053333
Train 20, loss: 3.423850, train acc: 0.061849, train avg acc: 0.061849
Test 20, loss: 3.394931, test acc: 0.083333, test avg acc: 0.083333
Train 21, loss: 3.423882, train acc: 0.054688, train avg acc: 0.054688
Test 21, loss: 3.398033, test acc: 0.068333, test avg acc: 0.068333
Train 22, loss: 3.417323, train acc: 0.050781, train avg acc: 0.050781
Test 22, loss: 3.403983, test acc: 0.055000, test avg acc: 0.055000
Train 23, loss: 3.423836, train acc: 0.050130, train avg acc: 0.050130
Test 23, loss: 3.402159, test acc: 0.068333, test avg acc: 0.068333
Train 24, loss: 3.420416, train acc: 0.055664, train avg acc: 0.055664
Test 24, loss: 3.408782, test acc: 0.073333, test avg acc: 0.073333
Train 25, loss: 3.413408, train acc: 0.055339, train avg acc: 0.055339
Test 25, loss: 3.406887, test acc: 0.046667, test avg acc: 0.046667
Train 26, loss: 3.412028, train acc: 0.060547, train avg acc: 0.060547
Test 26, loss: 3.401213, test acc: 0.073333, test avg acc: 0.073333
Train 27, loss: 3.410418, train acc: 0.062500, train avg acc: 0.062500
Test 27, loss: 3.388777, test acc: 0.076667, test avg acc: 0.076667
Train 28, loss: 3.405201, train acc: 0.060547, train avg acc: 0.060547
Test 28, loss: 3.381641, test acc: 0.073333, test avg acc: 0.073333
Train 29, loss: 3.406188, train acc: 0.055664, train avg acc: 0.055664
Test 29, loss: 3.378324, test acc: 0.088333, test avg acc: 0.088333
Train 30, loss: 3.407159, train acc: 0.061849, train avg acc: 0.061849
Test 30, loss: 3.389566, test acc: 0.101667, test avg acc: 0.101667
Train 31, loss: 3.401216, train acc: 0.069661, train avg acc: 0.069661
Test 31, loss: 3.386928, test acc: 0.071667, test avg acc: 0.071667
Train 32, loss: 3.399683, train acc: 0.059245, train avg acc: 0.059245
Test 32, loss: 3.380491, test acc: 0.108333, test avg acc: 0.108333
Train 33, loss: 3.391966, train acc: 0.060221, train avg acc: 0.060221
Test 33, loss: 3.377913, test acc: 0.115000, test avg acc: 0.115000
Train 34, loss: 3.401402, train acc: 0.065430, train avg acc: 0.065430
Test 34, loss: 3.375465, test acc: 0.088333, test avg acc: 0.088333
Train 35, loss: 3.390532, train acc: 0.060872, train avg acc: 0.060872
Test 35, loss: 3.368206, test acc: 0.116667, test avg acc: 0.116667
Train 36, loss: 3.394975, train acc: 0.069010, train avg acc: 0.069010
Test 36, loss: 3.369160, test acc: 0.093333, test avg acc: 0.093333
Train 37, loss: 3.391147, train acc: 0.064128, train avg acc: 0.064128
Test 37, loss: 3.377564, test acc: 0.083333, test avg acc: 0.083333
Train 38, loss: 3.393759, train acc: 0.066081, train avg acc: 0.066081
Test 38, loss: 3.375727, test acc: 0.085000, test avg acc: 0.085000
Train 39, loss: 3.385063, train acc: 0.061849, train avg acc: 0.061849
Test 39, loss: 3.368570, test acc: 0.110000, test avg acc: 0.110000
Train 40, loss: 3.391530, train acc: 0.068685, train avg acc: 0.068685
Test 40, loss: 3.386915, test acc: 0.065000, test avg acc: 0.065000
Train 41, loss: 3.377389, train acc: 0.067383, train avg acc: 0.067383
Test 41, loss: 3.367949, test acc: 0.113333, test avg acc: 0.113333
Train 42, loss: 3.392887, train acc: 0.061849, train avg acc: 0.061849
Test 42, loss: 3.379223, test acc: 0.071667, test avg acc: 0.071667
Train 43, loss: 3.381287, train acc: 0.060547, train avg acc: 0.060547
Test 43, loss: 3.374413, test acc: 0.110000, test avg acc: 0.110000
Train 44, loss: 3.385518, train acc: 0.070312, train avg acc: 0.070312
Test 44, loss: 3.372633, test acc: 0.118333, test avg acc: 0.118333
Train 45, loss: 3.386355, train acc: 0.058594, train avg acc: 0.058594
Test 45, loss: 3.376126, test acc: 0.103333, test avg acc: 0.103333
Train 46, loss: 3.389077, train acc: 0.070638, train avg acc: 0.070638
Test 46, loss: 3.378036, test acc: 0.090000, test avg acc: 0.090000
Train 47, loss: 3.384620, train acc: 0.072266, train avg acc: 0.072266
Test 47, loss: 3.379998, test acc: 0.081667, test avg acc: 0.081667
Train 48, loss: 3.378881, train acc: 0.069336, train avg acc: 0.069336
Test 48, loss: 3.373028, test acc: 0.121667, test avg acc: 0.121667
Train 49, loss: 3.384327, train acc: 0.066081, train avg acc: 0.066081
Test 49, loss: 3.374262, test acc: 0.086667, test avg acc: 0.086667
