Namespace(batch_size=16, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=50, eval=False, exp_name='variation-26', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=26)
Using GPU : 0 from 1 devices
Train 0, loss: 3.808511, train acc: 0.035613, train avg acc: 0.035616
Test 0, loss: 3.449479, test acc: 0.041667, test avg acc: 0.041667
Train 1, loss: 3.490515, train acc: 0.037028, train avg acc: 0.037012
Test 1, loss: 3.449866, test acc: 0.041667, test avg acc: 0.041667
Train 2, loss: 3.469362, train acc: 0.038443, train avg acc: 0.038457
Test 2, loss: 3.451977, test acc: 0.038288, test avg acc: 0.038288
Train 3, loss: 3.459632, train acc: 0.042925, train avg acc: 0.042943
Test 3, loss: 3.455412, test acc: 0.041667, test avg acc: 0.041667
Train 4, loss: 3.456937, train acc: 0.039151, train avg acc: 0.039139
Test 4, loss: 3.449099, test acc: 0.036036, test avg acc: 0.036036
Train 5, loss: 3.453464, train acc: 0.041981, train avg acc: 0.042007
Test 5, loss: 3.441241, test acc: 0.040541, test avg acc: 0.040541
Train 6, loss: 3.452076, train acc: 0.037972, train avg acc: 0.037942
Test 6, loss: 3.445810, test acc: 0.036036, test avg acc: 0.036036
Train 7, loss: 3.450801, train acc: 0.038915, train avg acc: 0.038930
Test 7, loss: 3.440572, test acc: 0.043919, test avg acc: 0.043919
Train 8, loss: 3.449307, train acc: 0.039858, train avg acc: 0.039849
Test 8, loss: 3.443979, test acc: 0.042793, test avg acc: 0.042793
Train 9, loss: 3.449379, train acc: 0.038679, train avg acc: 0.038641
Test 9, loss: 3.442189, test acc: 0.040541, test avg acc: 0.040541
Train 10, loss: 3.445578, train acc: 0.045755, train avg acc: 0.045714
Test 10, loss: 3.445497, test acc: 0.042793, test avg acc: 0.042793
Train 11, loss: 3.448373, train acc: 0.044340, train avg acc: 0.044351
Test 11, loss: 3.442170, test acc: 0.045045, test avg acc: 0.045045
Train 12, loss: 3.445816, train acc: 0.047877, train avg acc: 0.047875
Test 12, loss: 3.438672, test acc: 0.041667, test avg acc: 0.041667
Train 13, loss: 3.445186, train acc: 0.036792, train avg acc: 0.036801
Test 13, loss: 3.435983, test acc: 0.038288, test avg acc: 0.038288
Train 14, loss: 3.440773, train acc: 0.045991, train avg acc: 0.045976
Test 14, loss: 3.435783, test acc: 0.041667, test avg acc: 0.041667
Train 15, loss: 3.439330, train acc: 0.046462, train avg acc: 0.046450
Test 15, loss: 3.433505, test acc: 0.034910, test avg acc: 0.034910
Train 16, loss: 3.439312, train acc: 0.046226, train avg acc: 0.046221
Test 16, loss: 3.426382, test acc: 0.042793, test avg acc: 0.042793
Train 17, loss: 3.436171, train acc: 0.047406, train avg acc: 0.047393
Test 17, loss: 3.429458, test acc: 0.054054, test avg acc: 0.054054
Train 18, loss: 3.432942, train acc: 0.047406, train avg acc: 0.047400
Test 18, loss: 3.412169, test acc: 0.061937, test avg acc: 0.061937
Train 19, loss: 3.425075, train acc: 0.049057, train avg acc: 0.049075
Test 19, loss: 3.404337, test acc: 0.059685, test avg acc: 0.059685
Train 20, loss: 3.428253, train acc: 0.047877, train avg acc: 0.047866
Test 20, loss: 3.401464, test acc: 0.072072, test avg acc: 0.072072
Train 21, loss: 3.419020, train acc: 0.054245, train avg acc: 0.054240
Test 21, loss: 3.400748, test acc: 0.059685, test avg acc: 0.059685
Train 22, loss: 3.417452, train acc: 0.056132, train avg acc: 0.056145
Test 22, loss: 3.391012, test acc: 0.064189, test avg acc: 0.064189
Train 23, loss: 3.415348, train acc: 0.060613, train avg acc: 0.060516
Test 23, loss: 3.408405, test acc: 0.048423, test avg acc: 0.048423
Train 24, loss: 3.412471, train acc: 0.061085, train avg acc: 0.061139
Test 24, loss: 3.396990, test acc: 0.050676, test avg acc: 0.050676
Train 25, loss: 3.406199, train acc: 0.061321, train avg acc: 0.061307
Test 25, loss: 3.383137, test acc: 0.068694, test avg acc: 0.068694
