Namespace(batch_size=16, dataset='modelnet40', dropout=0.5, emb_dims=2048, epochs=50, eval=False, exp_name='variation-18', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True, variation=18)
Using GPU : 0 from 1 devices
Train 0, loss: 4.513428, train acc: 0.031678, train avg acc: 0.031781
Test 0, loss: 3.761617, test acc: 0.041667, test avg acc: 0.041667
Train 1, loss: 3.628355, train acc: 0.038527, train avg acc: 0.038569
Test 1, loss: 3.471801, test acc: 0.041667, test avg acc: 0.041667
Train 2, loss: 3.532848, train acc: 0.041096, train avg acc: 0.041158
Test 2, loss: 3.481137, test acc: 0.037500, test avg acc: 0.037500
Train 3, loss: 3.508402, train acc: 0.038527, train avg acc: 0.038425
Test 3, loss: 3.457881, test acc: 0.033333, test avg acc: 0.033333
Train 4, loss: 3.487153, train acc: 0.040240, train avg acc: 0.040092
Test 4, loss: 3.453781, test acc: 0.029167, test avg acc: 0.029167
Train 5, loss: 3.478488, train acc: 0.047089, train avg acc: 0.047054
Test 5, loss: 3.433157, test acc: 0.037500, test avg acc: 0.037500
Train 6, loss: 3.473752, train acc: 0.042808, train avg acc: 0.042820
Test 6, loss: 3.428587, test acc: 0.095833, test avg acc: 0.095833
Train 7, loss: 3.456964, train acc: 0.055651, train avg acc: 0.055788
Test 7, loss: 3.403612, test acc: 0.045833, test avg acc: 0.045833
Train 8, loss: 3.461478, train acc: 0.052226, train avg acc: 0.052429
Test 8, loss: 3.407018, test acc: 0.075000, test avg acc: 0.075000
Train 9, loss: 3.457918, train acc: 0.046233, train avg acc: 0.046239
Test 9, loss: 3.423720, test acc: 0.087500, test avg acc: 0.087500
Train 10, loss: 3.444428, train acc: 0.050514, train avg acc: 0.050597
Test 10, loss: 3.381247, test acc: 0.100000, test avg acc: 0.100000
Train 11, loss: 3.445482, train acc: 0.047945, train avg acc: 0.047796
Test 11, loss: 3.419433, test acc: 0.075000, test avg acc: 0.075000
Train 12, loss: 3.437454, train acc: 0.056507, train avg acc: 0.056388
Test 12, loss: 3.399732, test acc: 0.079167, test avg acc: 0.079167
Train 13, loss: 3.437005, train acc: 0.041952, train avg acc: 0.042039
Test 13, loss: 3.411594, test acc: 0.054167, test avg acc: 0.054167
Train 14, loss: 3.437072, train acc: 0.060788, train avg acc: 0.060695
Test 14, loss: 3.369025, test acc: 0.104167, test avg acc: 0.104167
Train 15, loss: 3.425441, train acc: 0.059075, train avg acc: 0.059153
Test 15, loss: 3.395423, test acc: 0.095833, test avg acc: 0.095833
Train 16, loss: 3.422436, train acc: 0.065925, train avg acc: 0.066043
Test 16, loss: 3.396055, test acc: 0.087500, test avg acc: 0.087500
Train 17, loss: 3.426457, train acc: 0.053082, train avg acc: 0.053186
Test 17, loss: 3.396807, test acc: 0.045833, test avg acc: 0.045833
Train 18, loss: 3.419007, train acc: 0.050514, train avg acc: 0.050347
Test 18, loss: 3.389946, test acc: 0.108333, test avg acc: 0.108333
Train 19, loss: 3.405444, train acc: 0.065068, train avg acc: 0.065380
Test 19, loss: 3.400083, test acc: 0.075000, test avg acc: 0.075000
Train 20, loss: 3.425376, train acc: 0.047945, train avg acc: 0.047816
Test 20, loss: 3.404817, test acc: 0.041667, test avg acc: 0.041667
Train 21, loss: 3.411169, train acc: 0.060788, train avg acc: 0.060622
Test 21, loss: 3.390687, test acc: 0.087500, test avg acc: 0.087500
Train 22, loss: 3.416587, train acc: 0.047945, train avg acc: 0.047726
Test 22, loss: 3.398481, test acc: 0.041667, test avg acc: 0.041667
Train 23, loss: 3.399210, train acc: 0.069349, train avg acc: 0.069374
Test 23, loss: 3.386928, test acc: 0.058333, test avg acc: 0.058333
Train 24, loss: 3.404002, train acc: 0.054795, train avg acc: 0.054776
Test 24, loss: 3.381928, test acc: 0.075000, test avg acc: 0.075000
Train 25, loss: 3.407337, train acc: 0.061644, train avg acc: 0.061641
Test 25, loss: 3.382219, test acc: 0.083333, test avg acc: 0.083333
Train 26, loss: 3.393982, train acc: 0.072774, train avg acc: 0.072775
Test 26, loss: 3.381466, test acc: 0.041667, test avg acc: 0.041667
Train 27, loss: 3.406292, train acc: 0.056507, train avg acc: 0.056373
Test 27, loss: 3.393265, test acc: 0.091667, test avg acc: 0.091667
Train 28, loss: 3.395182, train acc: 0.054795, train avg acc: 0.054510
Test 28, loss: 3.390097, test acc: 0.079167, test avg acc: 0.079167
Train 29, loss: 3.393342, train acc: 0.062500, train avg acc: 0.062484
Test 29, loss: 3.389203, test acc: 0.083333, test avg acc: 0.083333
Train 30, loss: 3.392150, train acc: 0.063356, train avg acc: 0.063282
Test 30, loss: 3.386354, test acc: 0.054167, test avg acc: 0.054167
Train 31, loss: 3.379239, train acc: 0.073630, train avg acc: 0.073681
Test 31, loss: 3.384697, test acc: 0.054167, test avg acc: 0.054167
Train 32, loss: 3.398008, train acc: 0.061644, train avg acc: 0.061348
Test 32, loss: 3.388202, test acc: 0.062500, test avg acc: 0.062500
Train 33, loss: 3.370948, train acc: 0.083048, train avg acc: 0.082964
Test 33, loss: 3.375627, test acc: 0.079167, test avg acc: 0.079167
Train 34, loss: 3.382620, train acc: 0.055651, train avg acc: 0.055576
Test 34, loss: 3.377218, test acc: 0.108333, test avg acc: 0.108333
Train 35, loss: 3.383520, train acc: 0.065925, train avg acc: 0.065706
Test 35, loss: 3.382701, test acc: 0.083333, test avg acc: 0.083333
Train 36, loss: 3.396214, train acc: 0.057363, train avg acc: 0.057540
Test 36, loss: 3.384948, test acc: 0.100000, test avg acc: 0.100000
Train 37, loss: 3.397797, train acc: 0.070205, train avg acc: 0.070348
Test 37, loss: 3.382599, test acc: 0.116667, test avg acc: 0.116667
Train 38, loss: 3.384865, train acc: 0.068493, train avg acc: 0.068116
Test 38, loss: 3.380577, test acc: 0.054167, test avg acc: 0.054167
Train 39, loss: 3.377775, train acc: 0.061644, train avg acc: 0.062069
Test 39, loss: 3.378755, test acc: 0.054167, test avg acc: 0.054167
Train 40, loss: 3.371660, train acc: 0.069349, train avg acc: 0.069604
Test 40, loss: 3.375658, test acc: 0.120833, test avg acc: 0.120833
Train 41, loss: 3.388345, train acc: 0.058219, train avg acc: 0.058053
Test 41, loss: 3.378526, test acc: 0.108333, test avg acc: 0.108333
Train 42, loss: 3.373618, train acc: 0.077055, train avg acc: 0.076956
Test 42, loss: 3.376752, test acc: 0.104167, test avg acc: 0.104167
Train 43, loss: 3.365509, train acc: 0.076199, train avg acc: 0.076035
